club;Squad;ø age;Foreigners;ø market value;Total market value
Bayern Munich;30;26. Mai;16;€6.02m;€180.73m
SV Werder Bremen;33;24. Sep;14;€4.77m;€157.25m
FC Schalke 04;30;24. Jul;14;€3.55m;€106.60m
Hamburger SV;36;24. Sep;19;€2.83m;€101.83m
VfB Stuttgart;32;25. Mrz;11;€3.03m;€97.08m
Borussia Dortmund;32;24.0;14;€2.49m;€79.78m
Bayer 04 Leverkusen;28;25. Jan;14;€2.65m;€74.08m
Hertha BSC;31;25. Apr;18;€2.14m;€66.40m
1.FC Nuremberg;31;25. Mai;20;€2.11m;€65.45m
VfL Wolfsburg;30;26. Sep;21;€1.86m;€55.90m
Eintracht Frankfurt;30;25. Jun;12;€1.77m;€52.95m
Borussia Mönchengladbach;36;24. Jun;18;€1.27m;€45.85m
Hannover 96;32;26. Jan;15;€1.43m;€45.85m
VfL Bochum;32;27. Feb;15;€1.28m;€41.00m
1.FSV Mainz 05;34;25. Jun;16;€1.06m;€36.03m
Arminia Bielefeld;30;26. Jul;12;€1.19m;€35.60m
Alemannia Aachen;31;25. Jun;9;€862Th.;€26.73m
FC Energie Cottbus;30;26. Apr;18;€885Th.;€26.55m
