club;League as atSep 15, 2015;Value Sep 15, 2015;Squad size Sep 15, 2015;Current value;Current squad size;Difference;%
;;€1.96bn;504;€3.99bn  ;509;€2.03bn;103.2 %
Bayern Munich;Bundesliga;€559.25m;29;€769.50m;26;€210.25m;37.6 %
Borussia Dortmund;Bundesliga;€287.45m;26;€538.65m;34;€251.20m;87.4 %
RB Leipzig;2. Bundesliga;€39.65m;26;€449.20m;25;€409.55m;1032.9 %
Bayer 04 Leverkusen;Bundesliga;€189.15m;28;€434.05m;27;€244.90m;129.5 %
Eintracht Frankfurt;Bundesliga;€66.80m;28;€224.00m;32;€157.20m;235.3 %
VfL Wolfsburg;Bundesliga;€205.65m;29;€222.70m;28;€17.05m;8.3 %
Borussia Mönchengladbach;Bundesliga;€144.40m;26;€204.20m;26;€59.80m;41.4 %
TSG 1899 Hoffenheim;Bundesliga;€97.65m;29;€200.70m;30;€103.05m;105.5 %
VfB Stuttgart;Bundesliga;€65.35m;29;€165.30m;31;€99.95m;152.9 %
SC Freiburg;2. Bundesliga;€27.38m;27;€158.45m;27;€131.08m;478.8 %
1.FSV Mainz 05;Bundesliga;€56.68m;30;€123.10m;25;€66.43m;117.2 %
1. FC Köln;Bundesliga;€53.25m;23;€94.08m;28;€40.83m;76.7 %
FC Augsburg;Bundesliga;€52.55m;34;€93.70m;28;€41.15m;78.3 %
Hertha BSC;Bundesliga;€61.88m;28;€90.55m;31;€28.68m;46.3 %
1.FC Union Berlin;2. Bundesliga;€15.75m;26;€82.10m;28;€66.35m;421.3 %
Arminia Bielefeld;2. Bundesliga;€11.55m;28;€57.15m;25;€45.60m;394.8 %
VfL Bochum;2. Bundesliga;€14.05m;28;€51.00m;30;€36.95m;263.0 %
SpVgg Greuther Fürth;2. Bundesliga;€15.58m;30;€32.10m;28;€16.53m;106.1 %
SV Werder Bremen;Bundesliga;€50.35m;30;€42.30m;27;€-8.05m;-16.0 %
Hamburger SV;Bundesliga;€53.10m;29;€37.30m;26;€-15.80m;-29.8 %
FC Schalke 04;Bundesliga;€177.10m;29;€35.40m;27;€-141.70m;-80.0 %
1.FC Nuremberg;2. Bundesliga;€20.85m;27;€26.68m;28;€5.83m;27.9 %
FC St. Pauli;2. Bundesliga;€13.43m;29;€25.00m;30;€11.58m;86.2 %
Fortuna Düsseldorf;2. Bundesliga;€17.55m;26;€23.85m;30;€6.30m;35.9 %
Hannover 96;Bundesliga;€59.95m;32;€20.23m;26;€-39.73m;-66.3 %
SV Darmstadt 98;Bundesliga;€19.10m;28;€19.15m;27;€50Th.;0.3 %
SC Paderborn 07;2. Bundesliga;€18.00m;28;€17.70m;30;€-300Th.;-1.7 %
1.FC Heidenheim 1846;2. Bundesliga;€12.20m;28;€17.45m;26;€5.25m;43.0 %
Karlsruher SC;2. Bundesliga;€16.60m;28;€16.55m;28;€-50Th.;-0.3 %
SSV Jahn Regensburg;Regionalliga Bayern;€2.85m;24;€16.20m;26;€13.35m;468.4 %
Holstein Kiel;3. Liga;€6.28m;25;€16.00m;29;€9.73m;155.0 %
SV Sandhausen;2. Bundesliga;€10.50m;28;€13.35m;27;€2.85m;27.1 %
FC Hansa Rostock;3. Liga;€5.60m;25;€13.20m;31;€7.60m;135.7 %
SG Dynamo Dresden;3. Liga;€6.90m;28;€12.95m;29;€6.05m;87.7 %
FC Ingolstadt 04;Bundesliga;€27.65m;27;€12.00m;34;€-15.65m;-56.6 %
FC Erzgebirge Aue;3. Liga;€5.18m;25;€9.83m;32;€4.65m;89.9 %
