club;League as atSep 15, 2020;Value Sep 15, 2020;Squad size Sep 15, 2020;Current value;Current squad size;Difference;%
;Bayern Munich;Bundesliga;€835.25m;25;€769.50m;26;€-65.75m;-7.9 %
;Borussia Dortmund;Bundesliga;€579.75m;29;€538.65m;34;€-41.10m;-7.1 %
;RB Leipzig;Bundesliga;€481.78m;28;€449.20m;25;€-32.58m;-6.8 %
;Bayer 04 Leverkusen;Bundesliga;€322.65m;26;€434.05m;27;€111.40m;34.5 %
;Eintracht Frankfurt;Bundesliga;€195.53m;31;€224.00m;32;€28.48m;14.6 %
;VfL Wolfsburg;Bundesliga;€208.20m;29;€222.70m;28;€14.50m;7.0 %
;Borussia Mönchengladbach;Bundesliga;€309.68m;32;€204.20m;26;€-105.48m;-34.1 %
;TSG 1899 Hoffenheim;Bundesliga;€213.88m;29;€200.70m;30;€-13.18m;-6.2 %
;VfB Stuttgart;Bundesliga;€73.70m;32;€165.30m;31;€91.60m;124.3 %
;SC Freiburg;Bundesliga;€99.08m;29;€158.45m;27;€59.38m;59.9 %
;1.FSV Mainz 05;Bundesliga;€115.80m;32;€123.10m;25;€7.30m;6.3 %
;1. FC Köln;Bundesliga;€89.90m;30;€94.08m;28;€4.18m;4.6 %
;FC Augsburg;Bundesliga;€106.80m;28;€93.70m;28;€-13.10m;-12.3 %
;Hertha BSC;Bundesliga;€216.73m;26;€90.55m;31;€-126.18m;-58.2 %
;1.FC Union Berlin;Bundesliga;€61.55m;30;€82.10m;28;€20.55m;33.4 %
;Arminia Bielefeld;Bundesliga;€34.00m;29;€57.15m;25;€23.15m;68.1 %
;VfL Bochum;2. Bundesliga;€17.33m;28;€51.00m;30;€33.68m;194.4 %
;SpVgg Greuther Fürth;2. Bundesliga;€10.53m;22;€32.10m;28;€21.58m;205.0 %
;SV Werder Bremen;Bundesliga;€121.20m;30;€42.30m;27;€-78.90m;-65.1 %
;Hamburger SV;2. Bundesliga;€35.60m;26;€37.30m;26;€1.70m;4.8 %
;FC Schalke 04;Bundesliga;€177.03m;29;€35.40m;27;€-141.63m;-80.0 %
;1.FC Nuremberg;2. Bundesliga;€22.13m;31;€26.68m;28;€4.55m;20.6 %
;FC St. Pauli;2. Bundesliga;€14.33m;30;€25.00m;30;€10.68m;74.5 %
;Fortuna Düsseldorf;2. Bundesliga;€35.85m;24;€23.85m;30;€-12.00m;-33.5 %
;Hannover 96;2. Bundesliga;€25.15m;26;€20.23m;26;€-4.93m;-19.6 %
;SV Darmstadt 98;2. Bundesliga;€14.30m;27;€19.15m;27;€4.85m;33.9 %
;SC Paderborn 07;2. Bundesliga;€22.43m;27;€17.70m;30;€-4.73m;-21.1 %
;1.FC Heidenheim 1846;2. Bundesliga;€14.75m;30;€17.45m;26;€2.70m;18.3 %
;Karlsruher SC;2. Bundesliga;€10.43m;25;€16.55m;28;€6.13m;58.8 %
;SSV Jahn Regensburg;2. Bundesliga;€10.25m;26;€16.20m;26;€5.95m;58.0 %
;Holstein Kiel;2. Bundesliga;€16.60m;27;€16.00m;29;€-600Th.;-3.6 %
;SV Sandhausen;2. Bundesliga;€12.43m;30;€13.35m;27;€925Th.;7.4 %
;FC Hansa Rostock;3. Liga;€5.35m;24;€13.20m;31;€7.85m;146.7 %
;SG Dynamo Dresden;3. Liga;€8.93m;27;€12.95m;29;€4.03m;45.1 %
;FC Ingolstadt 04;3. Liga;€7.33m;25;€12.00m;34;€4.68m;63.8 %
;FC Erzgebirge Aue;2. Bundesliga;€10.25m;25;€9.83m;32;€-425Th.;-4.1 %
