index;club;League as atSep 15, 2021;Value Sep 15, 2021;Squad size Sep 15, 2021;
1;Bayern Munich;Bundesliga;€852.90m;26;
2;Borussia Dortmund;Bundesliga;€565.90m;34;
3;RB Leipzig;Bundesliga;€505.55m;28;
4;Bayer 04 Leverkusen;Bundesliga;€352.75m;27;
5;Eintracht Frankfurt;Bundesliga;€231.25m;32;
6;VfL Wolfsburg;Bundesliga;€287.75m;31;
7;Borussia Mönchengladbach;Bundesliga;€300.00m;28;
8;TSG 1899 Hoffenheim;Bundesliga;€207.65m;32;
9;VfB Stuttgart;Bundesliga;€169.63m;33;
10;SC Freiburg;Bundesliga;€125.15m;26;
11;1.FSV Mainz 05;Bundesliga;€100.50m;25;
12;1. FC Köln;Bundesliga;€76.66m;30;
13;FC Augsburg;Bundesliga;€97.10m;28;
14;Hertha BSC;Bundesliga;€137.05m;28;
15;1.FC Union Berlin;Bundesliga;€77.80m;31;
16;Arminia Bielefeld;Bundesliga;€53.45m;24;
17;VfL Bochum;Bundesliga;€36.90m;30;
18;SpVgg Greuther Fürth;Bundesliga;€39.23m;32;
