,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PointsLast3MatchesHT,PointsLast3MatchesAT,PointsLast5MatchesHT,PointsLast5MatchesAT,PointsLast10MatchesHT,PointsLast10MatchesAT,PointsLastAllMatchesHT,PointsLastAllMatchesAT,PDiff3Matches,PQuot3Matches,PDiff5Matches,PQuot5Matches,PDiff10Matches,PQuot10Matches,PDiffAllMatches,PQuotAllMatches,MarketValueHT,MarketValueAT,MarketValueDiff,MarketValueQuot,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeEloOld,AwayEloOld,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,DiffEloOld,DiffAttackOld,DiffDefendOld,DiffElo,DiffAttack,DiffDefend,QuotEloOld,QuotAttackOld,QuotDefendOld,QuotElo,QuotAttack,QuotDefend,DirectComparisonHG,DirectComparisonAG,DirectComparisonGoalDiff,DirectComparisonGoalQuot,ProbAwayWin,ProbDraw,ProbHomeWin,predictedResults
4374,05/11/2021,Mainz,M'gladbach,1,1,1,0,1,A,19,11,8,5,15,8,9,1,3,3,0,0,6.0,4.0,6.0,10.0,16.0,14.0,16,14,2.0,1.5,-4.0,0.6,2.0,1.1428571428571428,2,1.1428571428571428,100.5,300.0,-199.5,0.335,1686.4642375991475,1857.796740661152,1.7303751143222956,-1.1926774264303623,1.2063137046713102,-0.8293183949574099,1681.682124836526,1862.5788534237736,2.143197073874936,-1.3820113648406136,1.3686374127601688,-0.8729844547963149,-180.8967285872477,0.7745596611147674,-0.5090269100442987,-171.33250306200443,0.5240614096509855,-0.3633590314729524,0.9028783515636264,1.5659348881547024,1.583088172129096,0.9077765078858784,1.4344321113335765,1.4381417724269976,1.2,2.2,-1.0000000000000002,0.5454545454545454,0.34595972,0.23710153,0.41693872,2
4375,06/11/2021,Bayern Munich,Freiburg,2,1,2,1,0,H,29,14,11,4,5,13,6,4,0,0,0,0,9.0,7.0,12.0,13.0,25.0,22.0,25,22,2.0,1.2857142857142858,-1.0,0.9230769230769232,3.0,1.1363636363636365,3,1.1363636363636365,852.9,125.15,727.75,6.815021973631642,2078.4731642705915,1811.5058736424207,4.106460143457912,-0.7889471436828064,1.7834786809718195,-0.841544795988408,2074.808507384276,1815.170530528737,5.083888969987267,-0.9045864935507848,2.2113553182914725,-0.5677637022730354,259.6379768555389,2.872533651695795,-0.3368227912777494,266.9672906281703,2.322981462486093,0.0525976523056016,1.143037787628642,2.2989923545688526,1.5932446719106614,1.1473731300088887,2.302500269428675,0.937498689842381,2.2,1.2,1.0000000000000002,1.8333333333333333,0.040666815,0.078046866,0.88128626,2
4376,06/11/2021,Bochum,Hoffenheim,2,0,2,0,0,D,14,9,4,1,7,20,2,4,1,5,0,0,6.0,6.0,7.0,9.0,10.0,14.0,10,14,0.0,1.0,-2.0,0.7777777777777778,-4.0,0.7142857142857143,-4,0.7142857142857143,36.9,207.65,-170.75,0.1777028653985071,1218.014218778677,1771.8710487889246,1.4668561891907337,-0.5976567701060623,1.2551453268063568,-1.5113498412725097,1166.6160370875075,1823.269230480094,0.969276099480006,-1.3818036075519764,2.127763876911384,-1.1115309838741625,-656.6531933925862,-1.158487777431377,-0.2702726236778141,-553.8568300102474,0.2117108623843766,0.9136930711664474,0.6398484752470267,0.4555374353318689,1.2431534771399697,0.6874169650275571,1.1686743820518877,0.3954456829153823,1.5,1.75,-0.25,0.8571428571428571,0.4336545,0.21888486,0.34746072,0
4377,06/11/2021,Stuttgart,Bielefeld,0,1,0,0,1,A,9,15,4,2,11,11,8,4,0,3,0,0,2.0,1.0,6.0,1.0,10.0,5.0,10,5,1.0,2.0,5.0,6.0,5.0,2.0,5,2.0,169.63,53.45,116.18,3.173620205799813,1685.170762819205,1262.6146080462556,0.4015216904437197,-1.8794065583105104,0.6316247932962693,-1.2912241118662404,1703.8478439449682,1243.9375269204925,1.071687288124897,-2.3243466894840434,0.5864809809361331,-2.1462629170747287,459.9103170244757,0.4852063071887642,-0.1780837724093147,422.5561547729494,-0.2301031028525495,-0.5881824464442702,1.369721394420052,1.8273180596824885,1.0829738849758612,1.3346675637048142,0.6356965317151229,1.455523128044871,0.8,1.8,-1.0,0.4444444444444445,0.22487804,0.25361708,0.5215049,2
4378,06/11/2021,Wolfsburg,Augsburg,1,0,2,1,0,H,9,13,4,3,14,13,0,8,2,3,0,0,3.0,4.0,3.0,4.0,16.0,9.0,16,9,-1.0,0.75,-1.0,0.75,7.0,1.7777777777777777,7,1.7777777777777777,287.75,97.1,190.65,2.963439752832132,1792.237501903331,1701.5352626705078,0.823284815379505,-0.4993315982492455,1.3552524478901158,-1.679470450941104,1784.361913448893,1709.4108511249458,0.9276176415235416,-1.2525846044535998,2.2682702362740343,-2.051809684581668,74.9510623239471,-1.3406525947504928,0.7992250801280676,90.7022392328231,-0.5319676325106107,1.1801388526918584,1.0438461369743983,0.4089537598691455,0.610477966775453,1.0533061178470486,0.6074770915641667,0.2973149054033319,2.4,0.4,2.0,5.999999999999999,0.029566757,0.057645466,0.91278774,2
4379,06/11/2021,RB Leipzig,Dortmund,2,1,2,1,0,H,15,9,7,3,12,18,5,6,3,5,0,0,5.0,9.0,11.0,12.0,15.0,24.0,15,24,-4.0,0.5555555555555556,-1.0,0.9166666666666666,-9.0,0.625,-9,0.625,505.55,565.9,-60.349999999999966,0.8933557165576957,1899.3845188594444,1961.37993987089,2.4377965894500964,-0.7656493818605609,2.019454762294158,-1.1044429421935034,1886.934334058298,1973.8301246720364,2.4314081482000787,-0.9418905101854504,2.5842574960427656,-0.6546680253996243,-86.89579061373843,-0.1528493478426869,-0.2872224847858261,-61.995421011445615,0.4183418271559382,0.3387935603329425,0.9559760541053772,0.94085366954464,1.438729972508584,0.9683919368444612,1.207155829864042,0.6932448500598193,1.2,2.4,-1.2,0.5,0.4120576,0.22515179,0.36279058,1
4380,07/11/2021,Hertha,Leverkusen,1,1,1,1,0,H,15,8,5,3,13,13,5,6,1,3,0,0,6.0,1.0,6.0,7.0,12.0,17.0,12,17,5.0,6.0,-1.0,0.8571428571428571,-5.0,0.7058823529411765,-5,0.7058823529411765,137.05,352.75,-215.7,0.3885187810063785,1723.2868347844578,1838.6352117556764,0.6313983125298822,-1.316548357450788,1.0178364453939643,-1.9336934098067944,1719.9103510234831,1842.0116955166511,0.6942751236871809,-1.524846968745361,1.0918479841205004,-2.420189118196847,-122.10134449316796,-0.3975728604333195,0.8953421494514862,-115.3483769712186,-0.3864381328640821,0.617145052356006,0.9337130460190044,0.63587159914613,0.6300528158235181,0.9372641314417802,0.6203337632358928,0.6808464830949243,1.4,1.0,0.3999999999999999,1.4,0.6736148,0.14699905,0.17938614,0
4381,07/11/2021,FC Koln,Union Berlin,2,2,1,1,2,A,16,9,5,3,8,19,5,2,2,2,0,0,1.0,4.0,5.0,10.0,13.0,16.0,13,16,-3.0,0.25,-5.0,0.5,-3.0,0.8125,-3,0.8125,76.66,77.8,-1.1400000000000006,0.9853470437017996,1657.141759991619,1617.6153798177722,1.1953054581281592,-2.1365638195708274,1.8994394425794885,-2.3227599210372127,1658.3427295682366,1616.4144102411549,0.7835841260620894,-2.191785285721593,1.8664158720413464,-2.355476965285172,41.92831932708191,-1.0828317459792571,0.1636916795635792,39.526380173846746,-0.704133984451329,0.1861961014663853,1.0259390902861516,0.4198336168268133,0.9305059306560608,1.0244349680814109,0.6292937965449972,0.9198384216207584,0.75,2.0,-1.25,0.375,0.39461035,0.23499067,0.370399,1
4382,07/11/2021,Greuther Furth,Ein Frankfurt,1,2,0,0,0,D,20,14,2,4,12,17,6,3,4,1,0,0,0.0,1.0,0.0,5.0,1.0,9.0,1,9,-1.0,0.0,-5.0,0.0,-8.0,0.1111111111111111,-8,0.1111111111111111,39.23,231.25,-192.02,0.1696432432432432,991.9175688339532,1834.3322533843195,0.8231374876926645,-2.8316030921821964,1.0947778731910094,-1.1174670124410473,992.073300538528,1834.1765216797448,0.747534923797105,-3.074157990599925,0.7179652155420542,-1.1525747174442087,-842.1032211412165,0.0295697082550507,-1.9215832731557163,-842.4146845503662,-0.2716403854983449,-1.7141360797411491,0.5408821281988629,1.0411854329638046,2.667209287235413,0.5407513099133912,0.7518762553114271,2.533947812917278,0.7,1.0,-0.3,0.7,0.4474749,0.215358,0.3371671,0
4383,19/11/2021,Augsburg,Bayern Munich,2,1,2,2,1,H,6,18,3,4,18,9,1,10,2,1,0,0,3.0,9.0,4.0,12.0,9.0,27.0,9,28,-6.0,0.3333333333333333,-8.0,0.3333333333333333,-18.0,0.3333333333333333,-19,0.3214285714285714,97.1,852.9,-755.8,0.113846875366397,1727.2760734942517,2060.607941901286,1.7484143869709716,-1.036361513905951,2.9369924004229517,-1.2745401664303826,1709.4108511249458,2078.4731642705915,1.3552524478901158,-1.679470450941104,4.106460143457912,-0.7889471436828064,-369.0623131456457,-2.7512076955677967,-0.8905233072582976,-333.33186840703434,-1.1885780134519797,0.2381786525244316,0.8224358536401106,0.3300293684937371,2.1287490098529718,0.8382361527251637,0.5953077667886323,0.8131258168257648,1.2,2.6,-1.4,0.4615384615384615,0.7746586,0.10737016,0.117971145,0
4384,20/11/2021,Bielefeld,Wolfsburg,2,2,1,1,0,H,10,13,3,5,15,9,6,5,4,1,0,0,3.0,6.0,4.0,6.0,7.0,16.0,8,19,-3.0,0.5,-2.0,0.6666666666666666,-9.0,0.4375,-11,0.4210526315789473,53.45,287.75,-234.3,0.1857515204170287,1253.1206269976606,1783.0544018261628,1.3323490460290126,-1.704104467993962,1.3015399511129453,-1.145538618152152,1243.9375269204925,1792.237501903331,0.6316247932962693,-1.2912241118662404,0.823284815379505,-0.4993315982492455,-548.2999749828384,-0.1916600220832357,-0.7918925136169949,-529.9337748285022,0.0308090949160673,-0.5585658498418102,0.6940695781666484,0.7672008295271578,2.5859050706855427,0.7027943879414131,1.0236712633290452,1.487601064678922,0.4,2.6,-2.2,0.1538461538461538,0.55794513,0.18655792,0.25549695,0
4385,20/11/2021,Dortmund,Stuttgart,2,1,2,0,0,D,20,12,4,4,11,14,2,3,0,2,0,0,6.0,1.0,12.0,5.0,21.0,7.0,24,10,5.0,6.0,7.0,2.4,14.0,3.0,14,2.4,565.9,169.63,396.27,3.336084419029653,1977.0209188462952,1681.9799686449462,2.027233406645035,-1.1400866275654746,0.6084402280816406,-1.92122492311344,1973.8301246720364,1685.170762819205,2.019454762294158,-1.1044429421935034,0.4015216904437197,-1.8794065583105104,288.6593618528313,1.6179330718504383,0.7749636161170073,295.040950201349,1.4187931785633945,0.7811382955479651,1.1712938345606705,5.029503537062887,0.5876551496054906,1.1754128798805157,3.3318530121466927,0.5934165301780012,2.8,1.6,1.1999999999999995,1.7499999999999998,0.03281218,0.06477811,0.90240973,2
4386,20/11/2021,Hoffenheim,RB Leipzig,2,0,2,1,0,H,24,4,8,0,17,18,7,2,2,2,0,0,3.0,7.0,6.0,11.0,11.0,18.0,14,18,-4.0,0.4285714285714285,-5.0,0.5454545454545454,-7.0,0.6111111111111112,-4,0.7777777777777778,207.65,505.55,-297.9,0.4107407773711799,1845.5808802562708,1877.0728690832675,1.688759656521403,-0.6398690771140565,1.4436392337670532,-1.2674359065976752,1823.269230480094,1899.3845188594444,1.2551453268063568,-1.5113498412725097,2.4377965894500964,-0.7656493818605609,-76.11528837935043,-1.1826512626437395,-0.7457004594119488,-31.491988826996703,0.2451204227543497,0.6275668294836187,0.9599263405468542,0.5148687680662828,1.9739450942935064,0.9832228203040532,1.1697934061508768,0.5048532030560275,0.4,1.4,-1.0,0.2857142857142857,0.7149282,0.13118023,0.15389156,0
