,Rank,Club,Country,Level,Elo,From,To
0,None,Freiburg,FRG,2,1321.59814453,1978-07-01,1978-07-30
1,None,Freiburg,FRG,2,1308.88452148,1978-07-31,1978-08-09
2,None,Freiburg,FRG,2,1306.14208984,1978-08-10,1978-08-13
3,None,Freiburg,FRG,2,1292.22314453,1978-08-14,1978-08-20
4,None,Freiburg,FRG,2,1290.39111328,1978-08-21,1978-08-27
5,None,Freiburg,FRG,2,1300.95141602,1978-08-28,1978-09-03
6,None,Freiburg,FRG,2,1308.96826172,1978-09-04,1978-09-10
7,None,Freiburg,FRG,2,1298.81970215,1978-09-11,1978-09-12
8,None,Freiburg,FRG,2,1300.11755371,1978-09-13,1978-09-13
9,None,Freiburg,FRG,2,1300.97607422,1978-09-14,1978-09-17
10,None,Freiburg,FRG,2,1307.06713867,1978-09-18,1978-09-27
11,None,Freiburg,FRG,2,1312.49108887,1978-09-28,1978-10-01
12,None,Freiburg,FRG,2,1321.31506348,1978-10-02,1978-10-08
13,None,Freiburg,FRG,2,1315.91564941,1978-10-09,1978-10-15
14,None,Freiburg,FRG,2,1311.86047363,1978-10-16,1978-10-18
15,None,Freiburg,FRG,2,1323.6920166,1978-10-19,1978-10-22
16,None,Freiburg,FRG,2,1318.83227539,1978-10-23,1978-10-29
17,None,Freiburg,FRG,2,1315.14208984,1978-10-30,1978-11-01
18,None,Freiburg,FRG,2,1326.34875488,1978-11-02,1978-11-05
19,None,Freiburg,FRG,2,1325.09924316,1978-11-06,1978-11-12
20,None,Freiburg,FRG,2,1336.15002441,1978-11-13,1978-11-19
21,None,Freiburg,FRG,2,1353.66625977,1978-11-20,1978-11-22
22,None,Freiburg,FRG,2,1355.20422363,1978-11-23,1978-11-26
23,None,Freiburg,FRG,2,1353.70239258,1978-11-27,1978-12-06
24,None,Freiburg,FRG,2,1355.51782227,1978-12-07,1978-12-10
25,None,Freiburg,FRG,2,1352.3248291,1978-12-11,1978-12-17
26,None,Freiburg,FRG,2,1347.40942383,1978-12-18,1979-01-14
27,None,Freiburg,FRG,2,1354.70019531,1979-01-15,1979-01-21
28,None,Freiburg,FRG,2,1364.78112793,1979-01-22,1979-02-11
29,None,Freiburg,FRG,2,1363.07873535,1979-02-12,1979-02-18
30,None,Freiburg,FRG,2,1379.06896973,1979-02-19,1979-03-06
31,None,Freiburg,FRG,2,1378.22290039,1979-03-07,1979-03-07
32,None,Freiburg,FRG,2,1378.9876709,1979-03-08,1979-03-11
33,None,Freiburg,FRG,2,1392.49353027,1979-03-12,1979-03-18
34,None,Freiburg,FRG,2,1400.58520508,1979-03-19,1979-03-21
35,None,Freiburg,FRG,2,1413.83789062,1979-03-22,1979-03-22
36,None,Freiburg,FRG,2,1415.92419434,1979-03-23,1979-03-25
37,None,Freiburg,FRG,2,1419.85766602,1979-03-26,1979-03-30
38,None,Freiburg,FRG,2,1424.89477539,1979-03-31,1979-04-07
39,None,Freiburg,FRG,2,1415.1126709,1979-04-08,1979-04-10
40,None,Freiburg,FRG,2,1414.83129883,1979-04-11,1979-04-11
41,None,Freiburg,FRG,2,1426.59960938,1979-04-12,1979-04-16
42,None,Freiburg,FRG,2,1434.03686523,1979-04-17,1979-04-21
43,None,Freiburg,FRG,2,1421.67590332,1979-04-22,1979-04-24
44,None,Freiburg,FRG,2,1419.12792969,1979-04-25,1979-04-25
45,None,Freiburg,FRG,2,1412.19995117,1979-04-26,1979-05-04
46,None,Freiburg,FRG,2,1404.16210938,1979-05-05,1979-05-08
47,None,Freiburg,FRG,2,1396.12036133,1979-05-09,1979-05-09
48,None,Freiburg,FRG,2,1398.57019043,1979-05-10,1979-05-12
49,None,Freiburg,FRG,2,1404.22436523,1979-05-13,1979-05-16
50,None,Freiburg,FRG,2,1401.08813477,1979-05-17,1979-05-19
51,None,Freiburg,FRG,2,1397.56542969,1979-05-20,1979-05-23
52,None,Freiburg,FRG,2,1397.94897461,1979-05-24,1979-06-01
53,None,Freiburg,FRG,2,1396.4017334,1979-06-02,1979-06-09
54,None,Freiburg,FRG,2,1393.12731934,1979-06-10,1979-07-28
55,None,Freiburg,FRG,2,1389.67895508,1979-07-29,1979-08-04
56,None,Freiburg,FRG,2,1403.29003906,1979-08-05,1979-08-11
57,None,Freiburg,FRG,2,1410.65002441,1979-08-12,1979-08-18
58,None,Freiburg,FRG,2,1417.98937988,1979-08-19,1979-08-22
59,None,Freiburg,FRG,2,1426.2199707,1979-08-23,1979-09-01
60,None,Freiburg,FRG,2,1431.97180176,1979-09-02,1979-09-08
61,None,Freiburg,FRG,2,1431.29711914,1979-09-09,1979-09-15
62,None,Freiburg,FRG,2,1434.0369873,1979-09-16,1979-09-19
63,None,Freiburg,FRG,2,1440.59375,1979-09-20,1979-09-22
64,None,Freiburg,FRG,2,1448.97338867,1979-09-23,1979-10-03
65,None,Freiburg,FRG,2,1443.37158203,1979-10-04,1979-10-06
66,None,Freiburg,FRG,2,1435.29431152,1979-10-07,1979-10-13
67,None,Freiburg,FRG,2,1445.95263672,1979-10-14,1979-10-20
68,None,Freiburg,FRG,2,1445.81335449,1979-10-21,1979-10-24
69,None,Freiburg,FRG,2,1444.25488281,1979-10-25,1979-10-27
70,None,Freiburg,FRG,2,1464.16137695,1979-10-28,1979-11-01
71,None,Freiburg,FRG,2,1474.52880859,1979-11-02,1979-11-03
72,None,Freiburg,FRG,2,1464.8536377,1979-11-04,1979-11-07
73,None,Freiburg,FRG,2,1467.12731934,1979-11-08,1979-11-10
74,None,Freiburg,FRG,2,1492.00061035,1979-11-11,1979-11-17
75,None,Freiburg,FRG,2,1486.87060547,1979-11-18,1979-11-28
76,None,Freiburg,FRG,2,1496.81433105,1979-11-29,1979-12-01
77,None,Freiburg,FRG,2,1499.73535156,1979-12-02,1979-12-08
78,None,Freiburg,FRG,2,1486.22741699,1979-12-09,1979-12-12
79,None,Freiburg,FRG,2,1487.99316406,1979-12-13,1979-12-15
80,None,Freiburg,FRG,2,1486.1138916,1979-12-16,1979-12-23
81,None,Freiburg,FRG,2,1496.2434082,1979-12-24,1980-01-19
82,None,Freiburg,FRG,2,1502.57653809,1980-01-20,1980-01-26
83,None,Freiburg,FRG,2,1504.79748535,1980-01-27,1980-02-02
84,None,Freiburg,FRG,2,1514.43920898,1980-02-03,1980-02-09
85,None,Freiburg,FRG,2,1524.19726562,1980-02-10,1980-02-23
86,None,Freiburg,FRG,2,1526.96191406,1980-02-24,1980-03-01
87,None,Freiburg,FRG,2,1522.70812988,1980-03-02,1980-03-05
