,Rank,Club,Country,Level,Elo,From,To
0,None,Hertha,FRG,1,1357.1763916,1951-07-01,1951-09-02
1,None,Hertha,FRG,1,1349.88977051,1951-09-03,1951-09-09
2,None,Hertha,FRG,1,1369.84472656,1951-09-10,1951-09-23
3,None,Hertha,FRG,1,1371.95910645,1951-09-24,1951-09-24
4,None,Hertha,FRG,1,1390.95910645,1951-09-25,1951-09-30
5,None,Hertha,FRG,1,1388.01855469,1951-10-01,1951-10-07
6,None,Hertha,FRG,1,1406.68078613,1951-10-08,1951-10-18
7,None,Hertha,FRG,1,1391.68078613,1951-10-19,1951-10-21
8,None,Hertha,FRG,1,1385.95861816,1951-10-22,1951-10-28
9,None,Hertha,FRG,1,1391.8684082,1951-10-29,1951-11-04
10,None,Hertha,FRG,1,1396.83166504,1951-11-05,1951-11-11
11,None,Hertha,FRG,1,1405.05993652,1951-11-12,1951-11-18
12,None,Hertha,FRG,1,1402.3125,1951-11-19,1951-11-23
13,None,Hertha,FRG,1,1411.3125,1951-11-24,1951-11-25
14,None,Hertha,FRG,1,1417.93994141,1951-11-26,1951-12-02
15,None,Hertha,FRG,1,1414.05224609,1951-12-03,1951-12-09
16,None,Hertha,FRG,1,1430.59851074,1951-12-10,1951-12-16
17,None,Hertha,FRG,1,1432.80383301,1951-12-17,1951-12-23
18,None,Hertha,FRG,1,1441.93029785,1951-12-24,1951-12-25
19,None,Hertha,FRG,1,1442.93029785,1951-12-26,1951-12-30
20,None,Hertha,FRG,1,1440.65307617,1951-12-31,1952-01-06
21,None,Hertha,FRG,1,1443.28674316,1952-01-07,1952-01-20
22,None,Hertha,FRG,1,1457.34143066,1952-01-21,1952-01-27
23,None,Hertha,FRG,1,1457.96435547,1952-01-28,1952-02-03
24,None,Hertha,FRG,1,1451.95227051,1952-02-04,1952-02-24
25,None,Hertha,FRG,1,1444.38098145,1952-02-25,1952-03-02
26,None,Hertha,FRG,1,1427.32983398,1952-03-03,1952-03-09
27,None,Hertha,FRG,1,1420.14526367,1952-03-10,1952-03-23
28,None,Hertha,FRG,1,1411.98339844,1952-03-24,1952-03-30
29,None,Hertha,FRG,1,1416.23632812,1952-03-31,1952-04-06
30,None,Hertha,FRG,1,1411.09460449,1952-04-07,1952-04-21
31,None,Hertha,FRG,1,1413.09460449,1952-04-22,1952-05-07
32,None,Hertha,FRG,1,1417.09460449,1952-05-08,1952-09-07
33,None,Hertha,FRG,1,1412.70849609,1952-09-08,1952-09-14
34,None,Hertha,FRG,1,1408.55712891,1952-09-15,1952-09-28
35,None,Hertha,FRG,1,1412.01806641,1952-09-29,1952-10-05
36,None,Hertha,FRG,1,1406.86450195,1952-10-06,1952-10-06
37,None,Hertha,FRG,1,1387.86450195,1952-10-07,1952-10-12
38,None,Hertha,FRG,1,1379.34399414,1952-10-13,1952-10-19
39,None,Hertha,FRG,1,1370.68066406,1952-10-20,1952-10-26
40,None,Hertha,FRG,1,1363.63122559,1952-10-27,1952-11-02
41,None,Hertha,FRG,1,1352.86608887,1952-11-03,1952-11-09
42,None,Hertha,FRG,1,1339.05847168,1952-11-10,1952-11-10
43,None,Hertha,FRG,1,1345.05847168,1952-11-11,1952-11-16
44,None,Hertha,FRG,1,1325.70349121,1952-11-17,1952-11-23
45,None,Hertha,FRG,1,1308.3494873,1952-11-24,1952-11-30
46,None,Hertha,FRG,1,1305.90551758,1952-12-01,1952-12-14
47,None,Hertha,FRG,1,1299.58312988,1952-12-15,1952-12-25
48,None,Hertha,FRG,1,1307.58312988,1952-12-26,1952-12-29
49,None,Hertha,FRG,1,1309.58312988,1952-12-30,1953-01-04
50,None,Hertha,FRG,1,1302.24719238,1953-01-05,1953-01-11
51,None,Hertha,FRG,1,1296.63317871,1953-01-12,1953-02-01
52,None,Hertha,FRG,1,1299.20666504,1953-02-02,1953-02-08
53,None,Hertha,FRG,1,1292.33789062,1953-02-09,1953-02-22
54,None,Hertha,FRG,1,1281.1998291,1953-02-23,1953-03-01
55,None,Hertha,FRG,1,1280.60498047,1953-03-02,1953-03-08
56,None,Hertha,FRG,1,1284.94128418,1953-03-09,1953-03-15
57,None,Hertha,FRG,1,1281.91906738,1953-03-16,1953-03-23
58,None,Hertha,FRG,1,1277.91906738,1953-03-24,1953-03-29
59,None,Hertha,FRG,1,1283.57714844,1953-03-30,1953-04-05
60,None,Hertha,FRG,1,1277.21801758,1953-04-06,1953-04-12
61,None,Hertha,FRG,1,1275.71691895,1953-04-13,1953-07-01
62,None,Hertha,FRG,1,1373.58251953,1954-07-01,1954-07-06
63,None,Hertha,FRG,1,1417.58251953,1954-07-07,1954-09-05
64,None,Hertha,FRG,1,1407.15588379,1954-09-06,1954-09-12
