Rank,Club,Country,Level,Elo,From,To
None,Muenchen 60,FRG,1,1357.1763916,1951-07-01,1951-08-19
None,Muenchen 60,FRG,1,1359.90100098,1951-08-20,1951-08-26
None,Muenchen 60,FRG,1,1375.17199707,1951-08-27,1951-09-02
None,Muenchen 60,FRG,1,1384.75073242,1951-09-03,1951-09-09
None,Muenchen 60,FRG,1,1394.00622559,1951-09-10,1951-09-16
None,Muenchen 60,FRG,1,1380.2635498,1951-09-17,1951-09-24
None,Muenchen 60,FRG,1,1399.2635498,1951-09-25,1951-09-30
None,Muenchen 60,FRG,1,1395.43847656,1951-10-01,1951-10-07
None,Muenchen 60,FRG,1,1397.37268066,1951-10-08,1951-10-18
None,Muenchen 60,FRG,1,1382.37268066,1951-10-19,1951-10-21
None,Muenchen 60,FRG,1,1389.76245117,1951-10-22,1951-10-28
None,Muenchen 60,FRG,1,1379.8338623,1951-10-29,1951-11-04
None,Muenchen 60,FRG,1,1387.03051758,1951-11-05,1951-11-11
None,Muenchen 60,FRG,1,1377.47851562,1951-11-12,1951-11-18
None,Muenchen 60,FRG,1,1373.77526855,1951-11-19,1951-11-23
None,Muenchen 60,FRG,1,1382.77526855,1951-11-24,1951-11-25
None,Muenchen 60,FRG,1,1370.16601562,1951-11-26,1951-12-02
None,Muenchen 60,FRG,1,1366.43151855,1951-12-03,1951-12-09
None,Muenchen 60,FRG,1,1361.36547852,1951-12-10,1951-12-25
None,Muenchen 60,FRG,1,1362.36547852,1951-12-26,1951-12-30
None,Muenchen 60,FRG,1,1353.21240234,1951-12-31,1952-01-06
None,Muenchen 60,FRG,1,1362.75048828,1952-01-07,1952-01-13
None,Muenchen 60,FRG,1,1359.38745117,1952-01-14,1952-01-20
None,Muenchen 60,FRG,1,1353.50964355,1952-01-21,1952-01-27
None,Muenchen 60,FRG,1,1350.82910156,1952-01-28,1952-02-03
None,Muenchen 60,FRG,1,1344.7677002,1952-02-04,1952-02-10
None,Muenchen 60,FRG,1,1342.47753906,1952-02-11,1952-02-17
None,Muenchen 60,FRG,1,1346.48718262,1952-02-18,1952-02-24
None,Muenchen 60,FRG,1,1351.74975586,1952-02-25,1952-03-02
None,Muenchen 60,FRG,1,1345.26525879,1952-03-03,1952-03-09
None,Muenchen 60,FRG,1,1355.87060547,1952-03-10,1952-03-16
None,Muenchen 60,FRG,1,1358.87768555,1952-03-17,1952-03-23
None,Muenchen 60,FRG,1,1355.18212891,1952-03-24,1952-03-30
None,Muenchen 60,FRG,1,1370.48706055,1952-03-31,1952-04-06
None,Muenchen 60,FRG,1,1359.42297363,1952-04-07,1952-04-21
None,Muenchen 60,FRG,1,1361.42297363,1952-04-22,1952-05-07
None,Muenchen 60,FRG,1,1365.42297363,1952-05-08,1952-08-24
None,Muenchen 60,FRG,1,1371.84753418,1952-08-25,1952-08-31
None,Muenchen 60,FRG,1,1368.34313965,1952-09-01,1952-09-07
None,Muenchen 60,FRG,1,1364.61083984,1952-09-08,1952-09-14
None,Muenchen 60,FRG,1,1355.3338623,1952-09-15,1952-09-21
None,Muenchen 60,FRG,1,1351.25,1952-09-22,1952-09-28
None,Muenchen 60,FRG,1,1347.54016113,1952-09-29,1952-10-06
None,Muenchen 60,FRG,1,1328.54016113,1952-10-07,1952-10-12
None,Muenchen 60,FRG,1,1319.93127441,1952-10-13,1952-10-19
None,Muenchen 60,FRG,1,1301.92980957,1952-10-20,1952-10-26
None,Muenchen 60,FRG,1,1304.49291992,1952-10-27,1952-11-02
None,Muenchen 60,FRG,1,1302.1262207,1952-11-03,1952-11-10
None,Muenchen 60,FRG,1,1308.1262207,1952-11-11,1952-11-16
None,Muenchen 60,FRG,1,1317.109375,1952-11-17,1952-11-23
None,Muenchen 60,FRG,1,1318.6217041,1952-11-24,1952-11-30
None,Muenchen 60,FRG,1,1325.44250488,1952-12-01,1952-12-07
None,Muenchen 60,FRG,1,1314.43676758,1952-12-08,1952-12-14
None,Muenchen 60,FRG,1,1310.97106934,1952-12-15,1952-12-25
