Rank,Club,Country,Level,Elo,From,To
None,Nuernberg,FRG,0,1632.37597656,1948-07-04,1948-07-25
None,Nuernberg,FRG,0,1640.25964355,1948-07-26,1948-08-08
None,Nuernberg,FRG,0,1648.31787109,1948-08-09,1949-06-08
None,Nuernberg,FRG,0,1567.7598877,1951-05-06,1951-05-06
None,Nuernberg,FRG,0,1557.44335938,1951-05-07,1951-05-13
None,Nuernberg,FRG,0,1567.37231445,1951-05-14,1951-05-20
None,Nuernberg,FRG,0,1577.7121582,1951-05-21,1951-05-27
None,Nuernberg,FRG,0,1584.61120605,1951-05-28,1951-06-03
None,Nuernberg,FRG,0,1576.5715332,1951-06-04,1951-06-10
None,Nuernberg,FRG,0,1584.73010254,1951-06-11,1951-06-18
None,Nuernberg,FRG,0,1566.73010254,1951-06-19,1951-07-01
None,Nuernberg,FRG,1,1566.73010254,1951-07-02,1951-08-19
None,Nuernberg,FRG,1,1573.86608887,1951-08-20,1951-08-26
None,Nuernberg,FRG,1,1575.59924316,1951-08-27,1951-09-02
None,Nuernberg,FRG,1,1572.24597168,1951-09-03,1951-09-09
None,Nuernberg,FRG,1,1574.85632324,1951-09-10,1951-09-16
None,Nuernberg,FRG,1,1571.0098877,1951-09-17,1951-09-24
None,Nuernberg,FRG,1,1590.0098877,1951-09-25,1951-09-30
None,Nuernberg,FRG,1,1595.84777832,1951-10-01,1951-10-07
None,Nuernberg,FRG,1,1580.38757324,1951-10-08,1951-10-18
None,Nuernberg,FRG,1,1565.38757324,1951-10-19,1951-10-21
None,Nuernberg,FRG,1,1567.10351562,1951-10-22,1951-10-28
None,Nuernberg,FRG,1,1573.39123535,1951-10-29,1951-11-04
None,Nuernberg,FRG,1,1575.67980957,1951-11-05,1951-11-11
None,Nuernberg,FRG,1,1571.9486084,1951-11-12,1951-11-18
None,Nuernberg,FRG,1,1575.90600586,1951-11-19,1951-11-23
None,Nuernberg,FRG,1,1584.90600586,1951-11-24,1951-12-02
None,Nuernberg,FRG,1,1588.64038086,1951-12-03,1951-12-09
None,Nuernberg,FRG,1,1582.61181641,1951-12-10,1951-12-23
None,Nuernberg,FRG,1,1589.73974609,1951-12-24,1951-12-25
None,Nuernberg,FRG,1,1590.73974609,1951-12-26,1951-12-30
None,Nuernberg,FRG,1,1592.1472168,1951-12-31,1952-01-06
None,Nuernberg,FRG,1,1590.49169922,1952-01-07,1952-01-13
None,Nuernberg,FRG,1,1582.88049316,1952-01-14,1952-01-20
None,Nuernberg,FRG,1,1586.70214844,1952-01-21,1952-01-27
None,Nuernberg,FRG,1,1590.36047363,1952-01-28,1952-02-03
None,Nuernberg,FRG,1,1590.42773438,1952-02-04,1952-02-10
None,Nuernberg,FRG,1,1593.32250977,1952-02-11,1952-02-17
None,Nuernberg,FRG,1,1590.80822754,1952-02-18,1952-02-24
None,Nuernberg,FRG,1,1593.66992188,1952-02-25,1952-03-02
None,Nuernberg,FRG,1,1591.05895996,1952-03-03,1952-03-09
None,Nuernberg,FRG,1,1593.82006836,1952-03-10,1952-03-16
None,Nuernberg,FRG,1,1584.16748047,1952-03-17,1952-03-23
None,Nuernberg,FRG,1,1586.5213623,1952-03-24,1952-03-30
None,Nuernberg,FRG,1,1571.21643066,1952-03-31,1952-04-06
None,Nuernberg,FRG,1,1561.70800781,1952-04-07,1952-04-21
None,Nuernberg,FRG,1,1563.70800781,1952-04-22,1952-04-27
None,Nuernberg,FRG,1,1558.22058105,1952-04-28,1952-05-07
None,Nuernberg,FRG,1,1562.22058105,1952-05-08,1952-05-11
None,Nuernberg,FRG,1,1568.96362305,1952-05-12,1952-05-18
None,Nuernberg,FRG,1,1571.88977051,1952-05-19,1952-05-25
None,Nuernberg,FRG,1,1577.08007812,1952-05-26,1952-06-01
None,Nuernberg,FRG,1,1585.4765625,1952-06-02,1952-06-08
None,Nuernberg,FRG,1,1578.37072754,1952-06-09,1952-08-24
None,Nuernberg,FRG,1,1551.86291504,1952-08-25,1952-08-31
None,Nuernberg,FRG,1,1536.9967041,1952-09-01,1952-09-07
None,Nuernberg,FRG,1,1531.54772949,1952-09-08,1952-09-14
None,Nuernberg,FRG,1,1531.54321289,1952-09-15,1952-09-21
None,Nuernberg,FRG,1,1534.20031738,1952-09-22,1952-09-28
None,Nuernberg,FRG,1,1525.71154785,1952-09-29,1952-10-06
None,Nuernberg,FRG,1,1506.71154785,1952-10-07,1952-10-12
None,Nuernberg,FRG,1,1488.828125,1952-10-13,1952-10-19
None,Nuernberg,FRG,1,1480.36108398,1952-10-20,1952-10-26
None,Nuernberg,FRG,1,1476.48144531,1952-10-27,1952-11-02
None,Nuernberg,FRG,1,1485.78723145,1952-11-03,1952-11-10
None,Nuernberg,FRG,1,1491.78723145,1952-11-11,1952-11-16
None,Nuernberg,FRG,1,1490.82470703,1952-11-17,1952-11-23
None,Nuernberg,FRG,1,1486.1607666,1952-11-24,1952-11-30
None,Nuernberg,FRG,1,1497.70690918,1952-12-01,1952-12-07
None,Nuernberg,FRG,1,1485.77026367,1952-12-08,1952-12-14
None,Nuernberg,FRG,1,1489.23608398,1952-12-15,1952-12-25
None,Nuernberg,FRG,1,1497.23608398,1952-12-26,1952-12-29
None,Nuernberg,FRG,1,1499.23608398,1952-12-30,1953-01-04
None,Nuernberg,FRG,1,1486.18115234,1953-01-05,1953-01-11
None,Nuernberg,FRG,1,1487.69958496,1953-01-12,1953-01-18
None,Nuernberg,FRG,1,1478.7388916,1953-01-19,1953-01-25
None,Nuernberg,FRG,1,1455.99121094,1953-01-26,1953-02-08
None,Nuernberg,FRG,1,1460.05578613,1953-02-09,1953-02-15
None,Nuernberg,FRG,1,1470.140625,1953-02-16,1953-02-22
None,Nuernberg,FRG,1,1464.47106934,1953-02-23,1953-03-01
None,Nuernberg,FRG,1,1481.72607422,1953-03-02,1953-03-08
None,Nuernberg,FRG,1,1471.54040527,1953-03-09,1953-03-15
None,Nuernberg,FRG,1,1473.37768555,1953-03-16,1953-03-23
None,Nuernberg,FRG,1,1469.37768555,1953-03-24,1953-03-29
None,Nuernberg,FRG,1,1473.43774414,1953-03-30,1953-04-04
None,Nuernberg,FRG,1,1463.07946777,1953-04-05,1953-04-11
None,Nuernberg,FRG,1,1460.59289551,1953-04-12,1953-04-18
None,Nuernberg,FRG,1,1464.29992676,1953-04-19,1953-04-26
None,Nuernberg,FRG,1,1450.24353027,1953-04-27,1953-08-16
None,Nuernberg,FRG,1,1460.62854004,1953-08-17,1953-08-20
None,Nuernberg,FRG,1,1449.62854004,1953-08-21,1953-08-23
None,Nuernberg,FRG,1,1453.90698242,1953-08-24,1953-08-30
None,Nuernberg,FRG,1,1463.97949219,1953-08-31,1953-09-06
None,Nuernberg,FRG,1,1467.46679688,1953-09-07,1953-09-13
None,Nuernberg,FRG,1,1471.10644531,1953-09-14,1953-09-20
None,Nuernberg,FRG,1,1485.15539551,1953-09-21,1953-09-27
None,Nuernberg,FRG,1,1478.19909668,1953-09-28,1953-10-04
None,Nuernberg,FRG,1,1469.67492676,1953-10-05,1953-10-14
None,Nuernberg,FRG,1,1479.67492676,1953-10-15,1953-10-18
None,Nuernberg,FRG,1,1463.42370605,1953-10-19,1953-10-25
None,Nuernberg,FRG,1,1458.22570801,1953-10-26,1953-11-01
None,Nuernberg,FRG,1,1461.25598145,1953-11-02,1953-11-08
None,Nuernberg,FRG,1,1452.65039062,1953-11-09,1953-11-15
None,Nuernberg,FRG,1,1460.27062988,1953-11-16,1953-11-22
None,Nuernberg,FRG,1,1446.9050293,1953-11-23,1953-11-25
None,Nuernberg,FRG,1,1454.9050293,1953-11-26,1953-12-13
None,Nuernberg,FRG,1,1453.22045898,1953-12-14,1953-12-20
None,Nuernberg,FRG,1,1456.6217041,1953-12-21,1953-12-27
None,Nuernberg,FRG,1,1456.47705078,1953-12-28,1954-01-03
None,Nuernberg,FRG,1,1459.12548828,1954-01-04,1954-01-10
None,Nuernberg,FRG,1,1466.42602539,1954-01-11,1954-01-17
None,Nuernberg,FRG,1,1480.79577637,1954-01-18,1954-01-24
None,Nuernberg,FRG,1,1475.78417969,1954-01-25,1954-01-31
None,Nuernberg,FRG,1,1476.42285156,1954-02-01,1954-02-07
None,Nuernberg,FRG,1,1480.60974121,1954-02-08,1954-02-14
None,Nuernberg,FRG,1,1483.78393555,1954-02-15,1954-02-21
None,Nuernberg,FRG,1,1473.68762207,1954-02-22,1954-02-28
None,Nuernberg,FRG,1,1459.84472656,1954-03-01,1954-03-07
None,Nuernberg,FRG,1,1462.59545898,1954-03-08,1954-03-14
None,Nuernberg,FRG,1,1464.07702637,1954-03-15,1954-03-21
None,Nuernberg,FRG,1,1468.62451172,1954-03-22,1954-03-29
None,Nuernberg,FRG,1,1485.62451172,1954-03-30,1954-04-04
None,Nuernberg,FRG,1,1489.0645752,1954-04-05,1954-04-26
None,Nuernberg,FRG,1,1497.0645752,1954-04-27,1954-06-19
None,Nuernberg,FRG,1,1514.0645752,1954-06-20,1954-06-22
None,Nuernberg,FRG,1,1481.0645752,1954-06-23,1954-06-26
None,Nuernberg,FRG,1,1507.0645752,1954-06-27,1954-06-29
None,Nuernberg,FRG,1,1554.0645752,1954-06-30,1954-07-01
None,Nuernberg,FRG,1,1606.0645752,1954-07-02,1954-07-06
None,Nuernberg,FRG,1,1650.0645752,1954-07-07,1954-08-22
None,Nuernberg,FRG,1,1651.79138184,1954-08-23,1954-08-29
None,Nuernberg,FRG,1,1636.97998047,1954-08-30,1954-09-05
None,Nuernberg,FRG,1,1643.12036133,1954-09-06,1954-09-12
None,Nuernberg,FRG,1,1638.88793945,1954-09-13,1954-09-19
None,Nuernberg,FRG,1,1652.54223633,1954-09-20,1954-09-27
None,Nuernberg,FRG,1,1628.54223633,1954-09-28,1954-10-03
None,Nuernberg,FRG,1,1623.0045166,1954-10-04,1954-10-10
None,Nuernberg,FRG,1,1612.61279297,1954-10-11,1954-10-17
None,Nuernberg,FRG,1,1585.61279297,1954-10-18,1954-10-24
None,Nuernberg,FRG,1,1581.13037109,1954-10-25,1954-10-31
None,Nuernberg,FRG,1,1579.21984863,1954-11-01,1954-11-07
None,Nuernberg,FRG,1,1584.28674316,1954-11-08,1954-11-14
None,Nuernberg,FRG,1,1573.65856934,1954-11-15,1954-11-21
None,Nuernberg,FRG,1,1584.1262207,1954-11-22,1954-12-02
None,Nuernberg,FRG,1,1570.1262207,1954-12-03,1954-12-05
None,Nuernberg,FRG,1,1579.546875,1954-12-06,1954-12-12
None,Nuernberg,FRG,1,1576.6171875,1954-12-13,1954-12-19
None,Nuernberg,FRG,1,1558.75488281,1954-12-20,1954-12-22
None,Nuernberg,FRG,1,1564.75488281,1954-12-23,1955-01-09
None,Nuernberg,FRG,1,1552.96264648,1955-01-10,1955-01-16
None,Nuernberg,FRG,1,1555.88989258,1955-01-17,1955-01-23
None,Nuernberg,FRG,1,1544.69677734,1955-01-24,1955-01-30
None,Nuernberg,FRG,1,1553.99169922,1955-01-31,1955-02-06
None,Nuernberg,FRG,1,1559.94641113,1955-02-07,1955-02-13
None,Nuernberg,FRG,1,1552.5838623,1955-02-14,1955-02-20
None,Nuernberg,FRG,1,1558.39233398,1955-02-21,1955-02-27
None,Nuernberg,FRG,1,1559.89294434,1955-02-28,1955-03-13
None,Nuernberg,FRG,1,1546.40026855,1955-03-14,1955-03-20
None,Nuernberg,FRG,1,1534.43078613,1955-03-21,1955-03-27
None,Nuernberg,FRG,1,1522.91003418,1955-03-28,1955-03-31
None,Nuernberg,FRG,1,1506.91003418,1955-04-01,1955-04-03
None,Nuernberg,FRG,1,1495.68395996,1955-04-04,1955-04-10
None,Nuernberg,FRG,1,1501.5769043,1955-04-11,1955-04-17
None,Nuernberg,FRG,1,1506.73083496,1955-04-18,1955-04-24
None,Nuernberg,FRG,1,1503.68078613,1955-04-25,1955-05-29
None,Nuernberg,FRG,1,1504.68078613,1955-05-30,1955-08-22
None,Nuernberg,FRG,1,1490.68078613,1955-08-23,1955-08-27
None,Nuernberg,FRG,1,1494.20056152,1955-08-28,1955-09-04
None,Nuernberg,FRG,1,1502.85046387,1955-09-05,1955-09-11
None,Nuernberg,FRG,1,1504.80749512,1955-09-12,1955-09-14
None,Nuernberg,FRG,1,1395.82885742,1955-09-15,1955-09-18
None,Nuernberg,FRG,1,1388.95458984,1955-09-19,1955-10-02
None,Nuernberg,FRG,1,1397.27648926,1955-10-03,1955-10-09
None,Nuernberg,FRG,1,1411.7154541,1955-10-10,1955-10-12
None,Nuernberg,FRG,1,1446.52612305,1955-10-13,1955-10-16
None,Nuernberg,FRG,1,1434.0489502,1955-10-17,1955-10-23
None,Nuernberg,FRG,1,1428.29504395,1955-10-24,1955-10-30
None,Nuernberg,FRG,1,1425.45397949,1955-10-31,1955-11-01
None,Nuernberg,FRG,1,1463.31591797,1955-11-02,1955-11-06
None,Nuernberg,FRG,1,1457.93225098,1955-11-07,1955-11-13
None,Nuernberg,FRG,1,1452.76416016,1955-11-14,1955-11-20
None,Nuernberg,FRG,1,1449.2454834,1955-11-21,1955-11-23
None,Nuernberg,FRG,1,1403.03479004,1955-11-24,1955-11-27
None,Nuernberg,FRG,1,1389.73071289,1955-11-28,1955-12-04
None,Nuernberg,FRG,1,1394.8840332,1955-12-05,1955-12-11
None,Nuernberg,FRG,1,1406.84216309,1955-12-12,1956-01-08
None,Nuernberg,FRG,1,1410.8704834,1956-01-09,1956-01-15
None,Nuernberg,FRG,1,1417.87780762,1956-01-16,1956-01-22
None,Nuernberg,FRG,1,1424.17810059,1956-01-23,1956-01-29
None,Nuernberg,FRG,1,1428.10327148,1956-01-30,1956-02-05
None,Nuernberg,FRG,1,1421.13513184,1956-02-06,1956-02-12
None,Nuernberg,FRG,1,1424.23449707,1956-02-13,1956-02-26
None,Nuernberg,FRG,1,1425.52282715,1956-02-27,1956-03-04
None,Nuernberg,FRG,1,1422.37353516,1956-03-05,1956-03-11
None,Nuernberg,FRG,1,1413.03161621,1956-03-12,1956-03-18
None,Nuernberg,FRG,1,1403.86889648,1956-03-19,1956-03-25
None,Nuernberg,FRG,1,1414.38745117,1956-03-26,1956-04-08
None,Nuernberg,FRG,1,1401.54016113,1956-04-09,1956-04-15
None,Nuernberg,FRG,1,1393.90270996,1956-04-16,1956-04-22
None,Nuernberg,FRG,1,1379.19897461,1956-04-23,1956-04-29
None,Nuernberg,FRG,1,1381.26574707,1956-04-30,1956-08-01
None,Nuernberg,FRG,1,1379.20849609,1956-08-02,1956-08-19
None,Nuernberg,FRG,1,1382.47167969,1956-08-20,1956-08-26
None,Nuernberg,FRG,1,1391.70092773,1956-08-27,1956-09-02
None,Nuernberg,FRG,1,1399.68969727,1956-09-03,1956-09-06
None,Nuernberg,FRG,1,1401.55664062,1956-09-07,1956-09-09
None,Nuernberg,FRG,1,1405.37451172,1956-09-10,1956-09-16
None,Nuernberg,FRG,1,1411.87683105,1956-09-17,1956-09-23
None,Nuernberg,FRG,1,1413.62536621,1956-09-24,1956-09-30
None,Nuernberg,FRG,1,1389.20788574,1956-10-01,1956-10-07
None,Nuernberg,FRG,1,1402.30993652,1956-10-08,1956-10-14
None,Nuernberg,FRG,1,1408.4309082,1956-10-15,1956-10-17
None,Nuernberg,FRG,1,1412.5826416,1956-10-18,1956-10-21
None,Nuernberg,FRG,1,1427.32897949,1956-10-22,1956-10-28
None,Nuernberg,FRG,1,1435.68664551,1956-10-29,1956-11-04
None,Nuernberg,FRG,1,1452.1340332,1956-11-05,1956-11-11
None,Nuernberg,FRG,1,1460.52941895,1956-11-12,1956-11-18
None,Nuernberg,FRG,1,1474.0579834,1956-11-19,1956-11-21
None,Nuernberg,FRG,1,1467.61376953,1956-11-22,1956-12-02
None,Nuernberg,FRG,1,1473.34545898,1956-12-03,1956-12-09
None,Nuernberg,FRG,1,1471.55908203,1956-12-10,1957-01-06
None,Nuernberg,FRG,1,1465.1685791,1957-01-07,1957-01-13
None,Nuernberg,FRG,1,1471.67993164,1957-01-14,1957-01-20
None,Nuernberg,FRG,1,1473.97521973,1957-01-21,1957-02-03
None,Nuernberg,FRG,1,1465.33178711,1957-02-04,1957-02-10
None,Nuernberg,FRG,1,1470.31945801,1957-02-11,1957-02-17
None,Nuernberg,FRG,1,1470.73413086,1957-02-18,1957-02-24
None,Nuernberg,FRG,1,1474.71875,1957-02-25,1957-03-17
None,Nuernberg,FRG,1,1485.36914062,1957-03-18,1957-03-24
None,Nuernberg,FRG,1,1490.00085449,1957-03-25,1957-04-07
None,Nuernberg,FRG,1,1483.43066406,1957-04-08,1957-04-14
None,Nuernberg,FRG,1,1486.13793945,1957-04-15,1957-04-28
None,Nuernberg,FRG,1,1503.22119141,1957-04-29,1957-05-05
None,Nuernberg,FRG,1,1507.52185059,1957-05-06,1957-05-12
None,Nuernberg,FRG,1,1503.32885742,1957-05-13,1957-05-19
None,Nuernberg,FRG,1,1504.96350098,1957-05-20,1957-06-02
None,Nuernberg,FRG,1,1505.68969727,1957-06-03,1957-06-09
None,Nuernberg,FRG,1,1499.06567383,1957-06-10,1957-06-16
None,Nuernberg,FRG,1,1497.75830078,1957-06-17,1957-08-11
None,Nuernberg,FRG,1,1507.52954102,1957-08-12,1957-08-18
None,Nuernberg,FRG,1,1508.98217773,1957-08-19,1957-08-25
None,Nuernberg,FRG,1,1503.46154785,1957-08-26,1957-09-01
None,Nuernberg,FRG,1,1506.70068359,1957-09-02,1957-09-08
None,Nuernberg,FRG,1,1513.64709473,1957-09-09,1957-09-15
