Rank,Club,Country,Level,Elo,From,To
None,RB Leipzig,GER,2,1395.99108887,2014-07-01,2014-07-31
None,RB Leipzig,GER,2,1396.3614502,2014-08-01,2014-08-02
None,RB Leipzig,GER,2,1396.78466797,2014-08-03,2014-08-07
None,RB Leipzig,GER,2,1388.74914551,2014-08-08,2014-08-10
None,RB Leipzig,GER,2,1408.85888672,2014-08-11,2014-08-19
None,RB Leipzig,GER,2,1409.69787598,2014-08-20,2014-08-21
None,RB Leipzig,GER,2,1409.82397461,2014-08-22,2014-08-22
None,RB Leipzig,GER,2,1416.37536621,2014-08-23,2014-08-27
None,RB Leipzig,GER,2,1417.12353516,2014-08-28,2014-08-28
None,RB Leipzig,GER,2,1417.39440918,2014-08-29,2014-08-29
None,RB Leipzig,GER,2,1419.98803711,2014-08-30,2014-09-13
None,RB Leipzig,GER,2,1433.84545898,2014-09-14,2014-09-16
None,RB Leipzig,GER,2,1433.14941406,2014-09-17,2014-09-17
None,RB Leipzig,GER,2,1436.57336426,2014-09-18,2014-09-18
None,RB Leipzig,GER,2,1433.26696777,2014-09-19,2014-09-21
None,RB Leipzig,GER,2,1426.85424805,2014-09-22,2014-09-24
None,RB Leipzig,GER,2,1439.4621582,2014-09-25,2014-09-28
None,RB Leipzig,GER,2,1444.1015625,2014-09-29,2014-09-30
None,RB Leipzig,GER,2,1442.28308105,2014-10-01,2014-10-01
None,RB Leipzig,GER,2,1448.29455566,2014-10-02,2014-10-02
None,RB Leipzig,GER,2,1445.74536133,2014-10-03,2014-10-06
None,RB Leipzig,GER,2,1443.69885254,2014-10-07,2014-10-17
None,RB Leipzig,GER,2,1439.33569336,2014-10-18,2014-10-21
None,RB Leipzig,GER,2,1444.15734863,2014-10-22,2014-10-22
None,RB Leipzig,GER,2,1450.64050293,2014-10-23,2014-10-23
None,RB Leipzig,GER,2,1454.86547852,2014-10-24,2014-10-24
None,RB Leipzig,GER,2,1464.18041992,2014-10-25,2014-11-03
None,RB Leipzig,GER,2,1465.24743652,2014-11-04,2014-11-04
None,RB Leipzig,GER,2,1469.63537598,2014-11-05,2014-11-05
None,RB Leipzig,GER,2,1465.51794434,2014-11-06,2014-11-06
None,RB Leipzig,GER,2,1468.60583496,2014-11-07,2014-11-08
None,RB Leipzig,GER,2,1461.95922852,2014-11-09,2014-11-23
None,RB Leipzig,GER,2,1472.39831543,2014-11-24,2014-11-25
None,RB Leipzig,GER,2,1464.30151367,2014-11-26,2014-11-26
None,RB Leipzig,GER,2,1456.8326416,2014-11-27,2014-11-27
None,RB Leipzig,GER,2,1453.29797363,2014-11-28,2014-11-30
None,RB Leipzig,GER,2,1453.36535645,2014-12-01,2014-12-07
None,RB Leipzig,GER,2,1445.81628418,2014-12-08,2014-12-09
None,RB Leipzig,GER,2,1444.47766113,2014-12-10,2014-12-10
None,RB Leipzig,GER,2,1446.20532227,2014-12-11,2014-12-11
None,RB Leipzig,GER,2,1451.19226074,2014-12-12,2014-12-12
None,RB Leipzig,GER,2,1462.68188477,2014-12-13,2014-12-17
None,RB Leipzig,GER,2,1463.60998535,2014-12-18,2014-12-22
None,RB Leipzig,GER,2,1461.40026855,2014-12-23,2015-02-06
None,RB Leipzig,GER,2,1449.72705078,2015-02-07,2015-02-15
None,RB Leipzig,GER,2,1440.39001465,2015-02-16,2015-02-17
None,RB Leipzig,GER,2,1439.88635254,2015-02-18,2015-02-18
None,RB Leipzig,GER,2,1439.10546875,2015-02-19,2015-02-19
None,RB Leipzig,GER,2,1439.62219238,2015-02-20,2015-02-23
None,RB Leipzig,GER,2,1443.67004395,2015-02-24,2015-02-24
None,RB Leipzig,GER,2,1442.78015137,2015-02-25,2015-02-25
None,RB Leipzig,GER,2,1445.0489502,2015-02-26,2015-02-26
None,RB Leipzig,GER,2,1442.68066406,2015-02-27,2015-03-01
None,RB Leipzig,GER,2,1449.79992676,2015-03-02,2015-03-09
