Rank,Club,Country,Level,Elo,From,To
None,Schalke,FRG,0,1567.7598877,1951-05-06,1951-05-06
None,Schalke,FRG,0,1558.78503418,1951-05-07,1951-05-13
None,Schalke,FRG,0,1561.8026123,1951-05-14,1951-05-20
None,Schalke,FRG,0,1558.14916992,1951-05-21,1951-05-27
None,Schalke,FRG,0,1563.82458496,1951-05-28,1951-06-03
None,Schalke,FRG,0,1574.76611328,1951-06-04,1951-06-10
None,Schalke,FRG,0,1582.16271973,1951-06-11,1951-06-18
None,Schalke,FRG,0,1564.16271973,1951-06-19,1951-07-01
None,Schalke,FRG,1,1564.16271973,1951-07-02,1951-08-19
None,Schalke,FRG,1,1573.12268066,1951-08-20,1951-08-26
None,Schalke,FRG,1,1565.93518066,1951-08-27,1951-09-02
None,Schalke,FRG,1,1562.83532715,1951-09-03,1951-09-09
None,Schalke,FRG,1,1566.01782227,1951-09-10,1951-09-16
None,Schalke,FRG,1,1546.1192627,1951-09-17,1951-09-24
None,Schalke,FRG,1,1565.1192627,1951-09-25,1951-09-30
None,Schalke,FRG,1,1566.92541504,1951-10-01,1951-10-07
None,Schalke,FRG,1,1572.33251953,1951-10-08,1951-10-18
None,Schalke,FRG,1,1557.33251953,1951-10-19,1951-10-21
None,Schalke,FRG,1,1550.0970459,1951-10-22,1951-10-28
None,Schalke,FRG,1,1532.10510254,1951-10-29,1951-11-04
None,Schalke,FRG,1,1534.84472656,1951-11-05,1951-11-11
None,Schalke,FRG,1,1532.66906738,1951-11-12,1951-11-18
None,Schalke,FRG,1,1535.37817383,1951-11-19,1951-11-23
None,Schalke,FRG,1,1544.37817383,1951-11-24,1951-11-25
None,Schalke,FRG,1,1533.92980957,1951-11-26,1951-12-02
None,Schalke,FRG,1,1536.41479492,1951-12-03,1951-12-09
None,Schalke,FRG,1,1539.19873047,1951-12-10,1951-12-25
None,Schalke,FRG,1,1540.19873047,1951-12-26,1951-12-30
None,Schalke,FRG,1,1543.53222656,1951-12-31,1952-01-06
None,Schalke,FRG,1,1529.03637695,1952-01-07,1952-01-13
None,Schalke,FRG,1,1532.2364502,1952-01-14,1952-01-20
None,Schalke,FRG,1,1517.2746582,1952-01-21,1952-01-27
None,Schalke,FRG,1,1520.88244629,1952-01-28,1952-02-03
None,Schalke,FRG,1,1527.50048828,1952-02-04,1952-02-10
None,Schalke,FRG,1,1529.64245605,1952-02-11,1952-02-17
None,Schalke,FRG,1,1516.98986816,1952-02-18,1952-03-02
None,Schalke,FRG,1,1523.17749023,1952-03-03,1952-03-09
None,Schalke,FRG,1,1534.75537109,1952-03-10,1952-03-16
None,Schalke,FRG,1,1537.77758789,1952-03-17,1952-03-23
