Rank,Club,Country,Level,Elo,From,To
None,St Pauli,FRG,0,1632.37597656,1948-07-04,1948-07-25
None,St Pauli,FRG,0,1624.49230957,1948-07-26,1949-06-06
None,St Pauli,FRG,0,1624.9407959,1949-06-07,1949-06-16
None,St Pauli,FRG,0,1612.01574707,1949-06-17,1950-06-04
None,St Pauli,FRG,0,1602.63549805,1950-06-05,1950-11-25
None,St Pauli,FRG,0,1606.63549805,1950-11-26,1951-04-16
None,St Pauli,FRG,0,1614.63549805,1951-04-17,1951-05-06
None,St Pauli,FRG,0,1623.61035156,1951-05-07,1951-05-13
None,St Pauli,FRG,0,1609.35498047,1951-05-14,1951-05-20
None,St Pauli,FRG,0,1598.28442383,1951-05-21,1951-05-27
None,St Pauli,FRG,0,1592.36303711,1951-05-28,1951-06-03
None,St Pauli,FRG,0,1581.42150879,1951-06-04,1951-06-10
None,St Pauli,FRG,0,1586.16748047,1951-06-11,1951-06-18
None,St Pauli,FRG,0,1568.16748047,1951-06-19,1951-07-01
None,St Pauli,FRG,1,1568.16748047,1951-07-02,1951-08-19
None,St Pauli,FRG,1,1569.99072266,1951-08-20,1951-08-26
None,St Pauli,FRG,1,1562.68518066,1951-08-27,1951-09-02
None,St Pauli,FRG,1,1567.79626465,1951-09-03,1951-09-09
None,St Pauli,FRG,1,1572.92285156,1951-09-10,1951-09-16
None,St Pauli,FRG,1,1576.64282227,1951-09-17,1951-09-23
None,St Pauli,FRG,1,1582.69836426,1951-09-24,1951-09-24
None,St Pauli,FRG,1,1601.69836426,1951-09-25,1951-09-30
None,St Pauli,FRG,1,1605.10205078,1951-10-01,1951-10-07
None,St Pauli,FRG,1,1594.14880371,1951-10-08,1951-10-18
None,St Pauli,FRG,1,1579.14880371,1951-10-19,1951-10-21
None,St Pauli,FRG,1,1563.13000488,1951-10-22,1951-10-28
None,St Pauli,FRG,1,1571.79199219,1951-10-29,1951-11-04
None,St Pauli,FRG,1,1575.64697266,1951-11-05,1951-11-18
None,St Pauli,FRG,1,1561.8059082,1951-11-19,1951-11-23
None,St Pauli,FRG,1,1570.8059082,1951-11-24,1951-12-02
None,St Pauli,FRG,1,1563.39855957,1951-12-03,1951-12-09
None,St Pauli,FRG,1,1549.82165527,1951-12-10,1951-12-16
None,St Pauli,FRG,1,1535.34643555,1951-12-17,1951-12-25
None,St Pauli,FRG,1,1536.34643555,1951-12-26,1951-12-30
None,St Pauli,FRG,1,1527.1394043,1951-12-31,1952-01-06
None,St Pauli,FRG,1,1520.89196777,1952-01-07,1952-01-20
None,St Pauli,FRG,1,1520.7409668,1952-01-21,1952-01-27
None,St Pauli,FRG,1,1509.2322998,1952-01-28,1952-02-03
None,St Pauli,FRG,1,1514.11560059,1952-02-04,1952-02-10
None,St Pauli,FRG,1,1510.9967041,1952-02-11,1952-02-17
None,St Pauli,FRG,1,1499.08813477,1952-02-18,1952-02-24
None,St Pauli,FRG,1,1493.92602539,1952-02-25,1952-03-02
None,St Pauli,FRG,1,1498.13916016,1952-03-03,1952-03-09
None,St Pauli,FRG,1,1507.10351562,1952-03-10,1952-03-16
