Rank,Club,Country,Level,Elo,From,To
None,Werder,FRG,1,1357.1763916,1951-07-01,1951-08-26
None,Werder,FRG,1,1354.56030273,1951-08-27,1951-09-02
None,Werder,FRG,1,1357.72717285,1951-09-03,1951-09-09
None,Werder,FRG,1,1346.89587402,1951-09-10,1951-09-16
None,Werder,FRG,1,1331.95751953,1951-09-17,1951-09-23
None,Werder,FRG,1,1348.06665039,1951-09-24,1951-09-24
None,Werder,FRG,1,1367.06665039,1951-09-25,1951-09-30
None,Werder,FRG,1,1376.49353027,1951-10-01,1951-10-07
None,Werder,FRG,1,1372.27282715,1951-10-08,1951-10-18
None,Werder,FRG,1,1357.27282715,1951-10-19,1951-10-21
None,Werder,FRG,1,1367.87390137,1951-10-22,1951-10-28
None,Werder,FRG,1,1370.39807129,1951-10-29,1951-11-04
None,Werder,FRG,1,1380.41223145,1951-11-05,1951-11-11
None,Werder,FRG,1,1371.06640625,1951-11-12,1951-11-18
None,Werder,FRG,1,1366.82727051,1951-11-19,1951-11-21
None,Werder,FRG,1,1377.52783203,1951-11-22,1951-11-23
None,Werder,FRG,1,1386.52783203,1951-11-24,1951-12-02
None,Werder,FRG,1,1379.56347656,1951-12-03,1951-12-09
None,Werder,FRG,1,1393.14038086,1951-12-10,1951-12-16
None,Werder,FRG,1,1416.88696289,1951-12-17,1951-12-23
None,Werder,FRG,1,1421.06030273,1951-12-24,1951-12-25
None,Werder,FRG,1,1422.06030273,1951-12-26,1951-12-30
None,Werder,FRG,1,1409.37548828,1951-12-31,1952-01-06
None,Werder,FRG,1,1400.35437012,1952-01-07,1952-01-13
None,Werder,FRG,1,1403.08618164,1952-01-14,1952-01-20
None,Werder,FRG,1,1412.44250488,1952-01-21,1952-01-27
None,Werder,FRG,1,1406.96350098,1952-01-28,1952-02-03
None,Werder,FRG,1,1418.29321289,1952-02-04,1952-02-17
None,Werder,FRG,1,1427.65234375,1952-02-18,1952-02-24
None,Werder,FRG,1,1432.81445312,1952-02-25,1952-03-02
None,Werder,FRG,1,1440.24462891,1952-03-03,1952-03-16
None,Werder,FRG,1,1432.2734375,1952-03-17,1952-03-23
None,Werder,FRG,1,1442.68432617,1952-03-24,1952-03-30
None,Werder,FRG,1,1451.95861816,1952-03-31,1952-04-13
None,Werder,FRG,1,1433.07409668,1952-04-14,1952-04-21
None,Werder,FRG,1,1435.07409668,1952-04-22,1952-05-07
None,Werder,FRG,1,1439.07409668,1952-05-08,1952-08-24
None,Werder,FRG,1,1421.31005859,1952-08-25,1952-08-31
None,Werder,FRG,1,1424.5501709,1952-09-01,1952-09-07
None,Werder,FRG,1,1412.77575684,1952-09-08,1952-09-14
None,Werder,FRG,1,1391.86413574,1952-09-15,1952-09-21
None,Werder,FRG,1,1396.65478516,1952-09-22,1952-09-28
None,Werder,FRG,1,1415.5723877,1952-09-29,1952-10-06
None,Werder,FRG,1,1396.5723877,1952-10-07,1952-10-12
None,Werder,FRG,1,1401.44763184,1952-10-13,1952-10-19
None,Werder,FRG,1,1403.86035156,1952-10-20,1952-10-26
None,Werder,FRG,1,1411.06518555,1952-10-27,1952-11-02
None,Werder,FRG,1,1399.22741699,1952-11-03,1952-11-10
None,Werder,FRG,1,1405.22741699,1952-11-11,1952-11-16
None,Werder,FRG,1,1410.6829834,1952-11-17,1952-11-23
None,Werder,FRG,1,1413.0279541,1952-11-24,1952-11-30
None,Werder,FRG,1,1420.67480469,1952-12-01,1952-12-07
None,Werder,FRG,1,1424.56188965,1952-12-08,1952-12-14
None,Werder,FRG,1,1429.21142578,1952-12-15,1952-12-25
None,Werder,FRG,1,1437.21142578,1952-12-26,1952-12-29
None,Werder,FRG,1,1440.83435059,1952-12-30,1953-01-04
None,Werder,FRG,1,1432.8737793,1953-01-05,1953-01-11
None,Werder,FRG,1,1434.36633301,1953-01-12,1953-01-18
None,Werder,FRG,1,1436.72827148,1953-01-19,1953-01-25
None,Werder,FRG,1,1436.80407715,1953-01-26,1953-02-08
None,Werder,FRG,1,1432.95544434,1953-02-09,1953-02-22
None,Werder,FRG,1,1435.47106934,1953-02-23,1953-02-25
None,Werder,FRG,1,1430.92382812,1953-02-26,1953-03-01
None,Werder,FRG,1,1446.3873291,1953-03-02,1953-03-15
None,Werder,FRG,1,1450.56311035,1953-03-16,1953-03-22
None,Werder,FRG,1,1449.29541016,1953-03-23,1953-03-23
None,Werder,FRG,1,1445.29541016,1953-03-24,1953-03-29
None,Werder,FRG,1,1432.75256348,1953-03-30,1953-04-12
None,Werder,FRG,1,1456.70739746,1953-04-13,1953-04-19
None,Werder,FRG,1,1445.54272461,1953-04-20,1953-04-26
None,Werder,FRG,1,1449.23706055,1953-04-27,1953-08-09
None,Werder,FRG,1,1452.33618164,1953-08-10,1953-08-20
None,Werder,FRG,1,1441.33618164,1953-08-21,1953-08-23
None,Werder,FRG,1,1430.89367676,1953-08-24,1953-08-30
None,Werder,FRG,1,1409.91455078,1953-08-31,1953-09-06
None,Werder,FRG,1,1404.21972656,1953-09-07,1953-09-13
None,Werder,FRG,1,1409.58398438,1953-09-14,1953-09-20
None,Werder,FRG,1,1408.82641602,1953-09-21,1953-09-27
None,Werder,FRG,1,1411.45178223,1953-09-28,1953-10-04
None,Werder,FRG,1,1406.4230957,1953-10-05,1953-10-14
None,Werder,FRG,1,1416.4230957,1953-10-15,1953-10-18
None,Werder,FRG,1,1406.97241211,1953-10-19,1953-10-25
None,Werder,FRG,1,1404.4119873,1953-10-26,1953-11-01
None,Werder,FRG,1,1408.39208984,1953-11-02,1953-11-08
None,Werder,FRG,1,1420.60168457,1953-11-09,1953-11-18
None,Werder,FRG,1,1415.43945312,1953-11-19,1953-11-25
None,Werder,FRG,1,1413.19885254,1953-11-26,1953-12-06
None,Werder,FRG,1,1419.578125,1953-12-07,1953-12-13
None,Werder,FRG,1,1437.56237793,1953-12-14,1953-12-27
None,Werder,FRG,1,1441.2109375,1953-12-28,1954-01-03
None,Werder,FRG,1,1441.12390137,1954-01-04,1954-01-10
None,Werder,FRG,1,1426.15698242,1954-01-11,1954-01-17
None,Werder,FRG,1,1420.41235352,1954-01-18,1954-01-24
None,Werder,FRG,1,1416.40698242,1954-01-25,1954-01-31
None,Werder,FRG,1,1415.37011719,1954-02-01,1954-02-07
None,Werder,FRG,1,1410.24121094,1954-02-08,1954-02-14
None,Werder,FRG,1,1413.00244141,1954-02-15,1954-02-20
None,Werder,FRG,1,1422.90014648,1954-02-21,1954-03-07
None,Werder,FRG,1,1427.57836914,1954-03-08,1954-03-14
None,Werder,FRG,1,1443.44763184,1954-03-15,1954-03-21
None,Werder,FRG,1,1445.32324219,1954-03-22,1954-03-29
None,Werder,FRG,1,1462.32324219,1954-03-30,1954-04-04
None,Werder,FRG,1,1451.75097656,1954-04-05,1954-04-11
None,Werder,FRG,1,1445.83105469,1954-04-12,1954-04-26
None,Werder,FRG,1,1453.83105469,1954-04-27,1954-06-19
None,Werder,FRG,1,1470.83105469,1954-06-20,1954-06-22
None,Werder,FRG,1,1437.83105469,1954-06-23,1954-06-26
None,Werder,FRG,1,1463.83105469,1954-06-27,1954-06-29
None,Werder,FRG,1,1510.83105469,1954-06-30,1954-07-01
None,Werder,FRG,1,1562.83105469,1954-07-02,1954-07-06
None,Werder,FRG,1,1606.83105469,1954-07-07,1954-08-22
None,Werder,FRG,1,1608.55212402,1954-08-23,1954-08-29
None,Werder,FRG,1,1612.54284668,1954-08-30,1954-09-12
None,Werder,FRG,1,1616.1784668,1954-09-13,1954-09-19
None,Werder,FRG,1,1609.20751953,1954-09-20,1954-09-27
None,Werder,FRG,1,1585.20751953,1954-09-28,1954-10-03
None,Werder,FRG,1,1589.63427734,1954-10-04,1954-10-10
None,Werder,FRG,1,1582.2043457,1954-10-11,1954-10-17
None,Werder,FRG,1,1555.2043457,1954-10-18,1954-10-24
None,Werder,FRG,1,1551.59692383,1954-10-25,1954-10-31
None,Werder,FRG,1,1544.50524902,1954-11-01,1954-11-07
None,Werder,FRG,1,1551.63464355,1954-11-08,1954-11-14
None,Werder,FRG,1,1560.08691406,1954-11-15,1954-11-17
None,Werder,FRG,1,1568.27539062,1954-11-18,1954-11-21
None,Werder,FRG,1,1565.07019043,1954-11-22,1954-12-02
None,Werder,FRG,1,1551.07019043,1954-12-03,1954-12-12
None,Werder,FRG,1,1546.92492676,1954-12-13,1954-12-22
None,Werder,FRG,1,1552.92492676,1954-12-23,1954-12-26
None,Werder,FRG,1,1564.35083008,1954-12-27,1955-01-02
None,Werder,FRG,1,1557.50292969,1955-01-03,1955-01-09
None,Werder,FRG,1,1561.51928711,1955-01-10,1955-01-30
None,Werder,FRG,1,1559.23217773,1955-01-31,1955-02-06
None,Werder,FRG,1,1561.63903809,1955-02-07,1955-02-13
None,Werder,FRG,1,1563.37817383,1955-02-14,1955-02-20
None,Werder,FRG,1,1566.47521973,1955-02-21,1955-02-27
None,Werder,FRG,1,1581.25012207,1955-02-28,1955-03-06
None,Werder,FRG,1,1590.07495117,1955-03-07,1955-03-13
None,Werder,FRG,1,1598.85083008,1955-03-14,1955-03-20
None,Werder,FRG,1,1598.06091309,1955-03-21,1955-03-27
None,Werder,FRG,1,1584.47167969,1955-03-28,1955-03-31
None,Werder,FRG,1,1568.47167969,1955-04-01,1955-04-03
None,Werder,FRG,1,1560.30383301,1955-04-04,1955-04-08
None,Werder,FRG,1,1569.63305664,1955-04-09,1955-04-11
None,Werder,FRG,1,1575.17529297,1955-04-12,1955-04-24
None,Werder,FRG,1,1568.74829102,1955-04-25,1955-05-01
None,Werder,FRG,1,1558.40380859,1955-05-02,1955-05-29
None,Werder,FRG,1,1559.40380859,1955-05-30,1955-08-22
None,Werder,FRG,1,1545.40380859,1955-08-23,1955-08-28
