Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
11.08.2006;Bayern Munich;Dortmund;2;0;H;157;36;60;155;405;475;15;38;675;155;37;50;144;36;65;15;375;60;153;35;55;144;375;70;145;375;60
12.08.2006;Hamburg;Bielefeld;1;1;D;144;40;75;135;44;75;14;40;75;14;40;65;14;375;70;144;40;65;14;375;70;144;36;75;14;375;70
12.08.2006;Leverkusen;Aachen;3;0;H;144;40;75;15;38;58;15;375;65;145;39;60;144;36;65;144;40;65;144;36;65;14;41;70;145;36;65
12.08.2006;Mainz;Bochum;2;1;H;20;32;375;185;33;39;195;325;375;20;32;33;183;34;35;20;325;34;195;31;35;183;34;38;19;32;35
12.08.2006;M'gladbach;Cottbus;2;0;H;161;36;55;16;35;53;157;35;60;16;36;48;157;35;50;16;34;55;16;34;48;157;36;55;153;35;55
12.08.2006;Schalke 04;Ein Frankfurt;1;1;D;144;40;75;145;40;62;15;375;65;15;38;55;144;36;65;15;375;60;144;36;65;15;36;65;145;375;60
12.08.2006;Stuttgart;Nurnberg;0;3;A;20;32;375;19;33;36;19;33;40;18;32;40;18;325;375;20;325;34;19;31;36;20;325;34;19;32;375
13.08.2006;Hannover;Werder Bremen;2;4;A;40;325;19;375;34;185;40;34;185;36;32;19;35;34;183;36;33;191;36;31;19;36;34;191;36;33;185
13.08.2006;Wolfsburg;Hertha;0;0;D;22;32;275;255;315;255;25;32;265;24;31;27;24;325;25;24;33;26;237;31;262;225;325;288;24;31;26
18.08.2006;Nurnberg;M'gladbach;1;0;H;19;325;40;175;34;43;185;33;41;19;32;36;183;32;375;19;325;375;19;31;36;175;34;425;185;32;375
19.08.2006;Aachen;Schalke 04;0;1;A;433;33;183;40;34;18;41;33;185;38;32;185;375;32;183;40;325;185;36;31;19;425;34;175;435;32;175
19.08.2006;Cottbus;Hamburg;2;2;D;375;32;20;39;33;185;375;325;195;38;32;185;375;32;183;35;33;195;375;32;183;40;325;183;34;325;19
19.08.2006;Dortmund;Mainz;1;1;D;161;36;55;15;39;56;16;36;55;155;37;50;153;35;55;16;36;50;161;33;50;153;36;60;16;325;50
19.08.2006;Ein Frankfurt;Wolfsburg;0;0;D;20;32;375;19;32;385;20;33;35;20;32;33;191;325;34;215;32;31;195;31;35;21;32;32;19;32;35
19.08.2006;Hertha;Hannover;4;0;H;183;33;433;18;32;43;18;325;44;18;32;40;162;35;45;175;325;45;172;31;45;17;35;45;17;325;435
19.08.2006;Werder Bremen;Leverkusen;2;1;H;166;36;50;16;36;50;162;35;55;16;36;48;157;35;50;165;35;475;166;31;50;153;375;55;16;33;50
20.08.2006;Bielefeld;Stuttgart;2;3;A;237;325;30;255;30;265;245;32;27;25;31;26;238;32;26;245;325;26;237;31;262;22;325;30;24;31;26
20.08.2006;Bochum;Bayern Munich;1;2;A;55;38;157;525;35;16;55;36;16;48;36;16;55;35;153;475;35;165;55;33;157;575;36;153;50;36;155
25.08.2006;Schalke 04;Werder Bremen;2;0;H;25;31;28;245;315;265;245;325;275;24;32;26;237;32;26;25;33;25;237;30;27;225;325;288;235;30;27
26.08.2006;Bayern Munich;Nurnberg;0;0;D;14;433;75;135;45;72;133;475;85;135;42;75;133;40;80;13;475;85;133;40;80;125;50;95;14;36;80
