club;Squad;ø age;Foreigners;ø market value;Total market value
;0;0;0;-;-
Bayern Munich;31;25. Jul;17;€9.97m;€308.98m
Borussia Dortmund;31;24. Aug;15;€5.48m;€169.95m
FC Schalke 04;36;25. Feb;23;€4.37m;€157.18m
SV Werder Bremen;38;25.0;18;€3.98m;€151.13m
Bayer 04 Leverkusen;30;25. Jan;12;€4.92m;€147.68m
VfL Wolfsburg;34;25. Jul;25;€4.27m;€145.10m
TSG 1899 Hoffenheim;34;23. Aug;19;€3.71m;€126.13m
Hamburger SV;30;25. Sep;20;€3.74m;€112.13m
VfB Stuttgart;33;25. Mrz;17;€3.19m;€105.25m
1. FC Köln;38;25. Feb;19;€1.82m;€69.28m
Borussia Mönchengladbach;34;25. Aug;19;€1.96m;€66.55m
Hannover 96;28;26.0;14;€2.33m;€65.35m
1.FSV Mainz 05;28;26. Sep;15;€2.16m;€60.60m
1.FC Nuremberg;32;24. Mai;14;€1.88m;€60.20m
SC Freiburg;32;25. Mrz;19;€1.87m;€59.95m
1.FC Kaiserslautern;30;24. Sep;18;€1.68m;€50.50m
Eintracht Frankfurt;31;25. Feb;15;€1.53m;€47.58m
FC St. Pauli;30;26. Aug;2;€1.02m;€30.50m
