club;League as atJul 10, 2014;Value Jul 10, 2014;Squad size Jul 10, 2014;Current value;Current squad size;Difference;%
;;€1.86bn;497;€3.99bn  ;509;€2.13bn;114.2 %
Bayern Munich;Bundesliga;€566.00m;26;€769.50m;26;€203.50m;36.0 %
Borussia Dortmund;Bundesliga;€294.60m;27;€538.65m;34;€244.05m;82.8 %
RB Leipzig;2. Bundesliga;€12.65m;27;€449.20m;25;€436.55m;3451.0 %
Bayer 04 Leverkusen;Bundesliga;€162.55m;27;€434.05m;27;€271.50m;167.0 %
Eintracht Frankfurt;Bundesliga;€59.45m;26;€224.00m;32;€164.55m;276.8 %
VfL Wolfsburg;Bundesliga;€143.48m;29;€222.70m;28;€79.23m;55.2 %
Borussia Mönchengladbach;Bundesliga;€117.28m;29;€204.20m;26;€86.93m;74.1 %
TSG 1899 Hoffenheim;Bundesliga;€103.98m;34;€200.70m;30;€96.73m;93.0 %
VfB Stuttgart;Bundesliga;€91.95m;26;€165.30m;31;€73.35m;79.8 %
SC Freiburg;Bundesliga;€62.60m;26;€158.45m;27;€95.85m;153.1 %
1.FSV Mainz 05;Bundesliga;€49.40m;25;€123.10m;25;€73.70m;149.2 %
1. FC Köln;Bundesliga;€44.65m;32;€94.08m;28;€49.43m;110.7 %
FC Augsburg;Bundesliga;€40.80m;31;€93.70m;28;€52.90m;129.7 %
Hertha BSC;Bundesliga;€63.58m;30;€90.55m;31;€26.98m;42.4 %
1.FC Union Berlin;2. Bundesliga;€13.28m;27;€82.10m;28;€68.83m;518.5 %
Arminia Bielefeld;3. Liga;€6.63m;22;€57.15m;25;€50.53m;762.6 %
VfL Bochum;2. Bundesliga;€13.13m;27;€51.00m;30;€37.88m;288.6 %
SpVgg Greuther Fürth;2. Bundesliga;€16.70m;26;€32.10m;28;€15.40m;92.2 %
SV Werder Bremen;Bundesliga;€52.20m;29;€42.30m;27;€-9.90m;-19.0 %
Hamburger SV;Bundesliga;€76.40m;26;€37.30m;26;€-39.10m;-51.2 %
FC Schalke 04;Bundesliga;€203.80m;31;€35.40m;27;€-168.40m;-82.6 %
1.FC Nuremberg;2. Bundesliga;€29.78m;26;€26.68m;28;€-3.10m;-10.4 %
FC St. Pauli;2. Bundesliga;€15.85m;25;€25.00m;30;€9.15m;57.7 %
Fortuna Düsseldorf;2. Bundesliga;€18.53m;27;€23.85m;30;€5.33m;28.7 %
Hannover 96;Bundesliga;€61.60m;33;€20.23m;26;€-41.38m;-67.2 %
SV Darmstadt 98;2. Bundesliga;€7.40m;19;€19.15m;27;€11.75m;158.8 %
SC Paderborn 07;Bundesliga;€20.95m;31;€17.70m;30;€-3.25m;-15.5 %
1.FC Heidenheim 1846;2. Bundesliga;€9.60m;26;€17.45m;26;€7.85m;81.8 %
Karlsruher SC;2. Bundesliga;€13.50m;28;€16.55m;28;€3.05m;22.6 %
SSV Jahn Regensburg;3. Liga;€3.40m;23;€16.20m;26;€12.80m;376.5 %
Holstein Kiel;3. Liga;€4.85m;24;€16.00m;29;€11.15m;229.9 %
SV Sandhausen;2. Bundesliga;€11.25m;29;€13.35m;27;€2.10m;18.7 %
FC Hansa Rostock;3. Liga;€5.08m;26;€13.20m;31;€8.13m;160.1 %
SG Dynamo Dresden;3. Liga;€3.58m;19;€12.95m;29;€9.38m;262.2 %
FC Ingolstadt 04;2. Bundesliga;€14.23m;25;€12.00m;34;€-2.23m;-15.6 %
FC Erzgebirge Aue;2. Bundesliga;€10.13m;27;€9.83m;32;€-300Th.;-3.0 %
