club;League as atSep 15, 2017;Value Sep 15, 2017;Squad size Sep 15, 2017;Current value;Current squad size;Difference;%
;;€2.39bn;524;€3.99bn  ;509;€1.60bn;67.2 %
Bayern Munich;Bundesliga;€581.40m;25;€769.50m;26;€188.10m;32.4 %
Borussia Dortmund;Bundesliga;€392.03m;29;€538.65m;34;€146.63m;37.4 %
RB Leipzig;Bundesliga;€189.08m;25;€449.20m;25;€260.13m;137.6 %
Bayer 04 Leverkusen;Bundesliga;€200.90m;25;€434.05m;27;€233.15m;116.1 %
Eintracht Frankfurt;Bundesliga;€84.00m;37;€224.00m;32;€140.00m;166.7 %
VfL Wolfsburg;Bundesliga;€143.10m;31;€222.70m;28;€79.60m;55.6 %
Borussia Mönchengladbach;Bundesliga;€150.58m;29;€204.20m;26;€53.63m;35.6 %
TSG 1899 Hoffenheim;Bundesliga;€119.63m;29;€200.70m;30;€81.08m;67.8 %
VfB Stuttgart;Bundesliga;€64.35m;27;€165.30m;31;€100.95m;156.9 %
SC Freiburg;Bundesliga;€70.38m;32;€158.45m;27;€88.08m;125.2 %
1.FSV Mainz 05;Bundesliga;€71.45m;31;€123.10m;25;€51.65m;72.3 %
1. FC Köln;Bundesliga;€106.45m;27;€94.08m;28;€-12.38m;-11.6 %
FC Augsburg;Bundesliga;€57.13m;33;€93.70m;28;€36.58m;64.0 %
Hertha BSC;Bundesliga;€90.45m;29;€90.55m;31;€100Th.;0.1 %
1.FC Union Berlin;2. Bundesliga;€21.85m;28;€82.10m;28;€60.25m;275.7 %
Arminia Bielefeld;2. Bundesliga;€13.33m;24;€57.15m;25;€43.83m;328.9 %
VfL Bochum;2. Bundesliga;€15.80m;32;€51.00m;30;€35.20m;222.8 %
SpVgg Greuther Fürth;2. Bundesliga;€15.23m;31;€32.10m;28;€16.88m;110.8 %
SV Werder Bremen;Bundesliga;€71.55m;28;€42.30m;27;€-29.25m;-40.9 %
Hamburger SV;Bundesliga;€69.95m;29;€37.30m;26;€-32.65m;-46.7 %
FC Schalke 04;Bundesliga;€154.90m;23;€35.40m;27;€-119.50m;-77.1 %
1.FC Nuremberg;2. Bundesliga;€18.00m;27;€26.68m;28;€8.68m;48.2 %
FC St. Pauli;2. Bundesliga;€16.10m;28;€25.00m;30;€8.90m;55.3 %
Fortuna Düsseldorf;2. Bundesliga;€16.48m;27;€23.85m;30;€7.38m;44.8 %
Hannover 96;Bundesliga;€48.75m;30;€20.23m;26;€-28.53m;-58.5 %
SV Darmstadt 98;2. Bundesliga;€17.53m;31;€19.15m;27;€1.63m;9.3 %
SC Paderborn 07;3. Liga;€4.90m;30;€17.70m;30;€12.80m;261.2 %
1.FC Heidenheim 1846;2. Bundesliga;€13.58m;26;€17.45m;26;€3.88m;28.5 %
Karlsruher SC;3. Liga;€5.85m;27;€16.55m;28;€10.70m;182.9 %
SSV Jahn Regensburg;2. Bundesliga;€7.35m;28;€16.20m;26;€8.85m;120.4 %
Holstein Kiel;2. Bundesliga;€9.80m;29;€16.00m;29;€6.20m;63.3 %
SV Sandhausen;2. Bundesliga;€12.00m;30;€13.35m;27;€1.35m;11.3 %
FC Hansa Rostock;3. Liga;€5.10m;26;€13.20m;31;€8.10m;158.8 %
SG Dynamo Dresden;2. Bundesliga;€17.05m;26;€12.95m;29;€-4.10m;-24.0 %
FC Ingolstadt 04;2. Bundesliga;€25.10m;29;€12.00m;34;€-13.10m;-52.2 %
FC Erzgebirge Aue;2. Bundesliga;€10.65m;28;€9.83m;32;€-825Th.;-7.7 %
