,index,Unnamed: 0.1,Unnamed: 0.1.1,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,GPHTH,GPHTA,GPATH,GPATA,GPHT,GPAT,PointsLast3MatchesHT,PointsLast3MatchesAT,PointsLast5MatchesHT,PointsLast5MatchesAT,PointsLast10MatchesHT,PointsLast10MatchesAT,PointsLastAllMatchesHT,PointsLastAllMatchesAT,PDiff3Matches,PQuot3Matches,PDiff5Matches,PQuot5Matches,PDiff10Matches,PQuot10Matches,PDiffAllMatches,PQuotAllMatches,MarketValueHT,MarketValueAT,MarketValueDiff,MarketValueQuot,file,BSH,BSD,BSA,Unnamed: 70,Unnamed: 71,Unnamed: 72,PSH,PSD,PSA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld,DiffEloOld,DiffAttackOld,DiffDefendOld,DiffElo,DiffAttack,DiffDefend,QuotEloOld,QuotAttackOld,QuotDefendOld,QuotElo,QuotAttack,QuotDefend,DirectComparisonHG,DirectComparisonAG,B365Prediction,BetTrue,IWPrediction,BetTrueIW,DirectComparisonGoalDiff,DirectComparisonGoalQuot,predictedResults,ProbAwayWin,ProbDraw,ProbHomeWin
4680,4680,4680,90,D1,05/11/2021,Mainz,M'gladbach,1,1,1,0,1,A,19,11,8,5,15,8,9,1,3,3,0,0,2.62,3.6,2.55,2.65,3.4,2.55,,,,2.6,3.5,2.6,,,,,,,2.62,3.5,2.55,,,,2.63,3.6,2.55,,,,,,,,,,,,,,,,,,,5,5,5,5,10,10,6.0,4.0,6.0,10.0,16.0,14.0,16,14,2.0,1.5,-4.0,0.6,2.0,1.1428571428571428,2,1.1428571428571428,100.5,300.0,-199.5,0.335,bundesliga_data_modified_season_2021.csv,,,,,,,2.74,3.61,2.63,2.8,3.54,2.62,19:30,2.76,3.7,2.66,2.68,3.52,2.59,1.72,2.1,1.76,2.16,1.82,2.19,1.75,2.11,0.0,2.0,1.9,2.01,1.92,2.03,1.95,1.98,1.9,2.62,3.6,2.55,2.65,3.4,2.55,2.6,3.5,2.6,2.7,3.4,2.5,2.7,3.5,2.55,2.91,3.71,2.68,2.69,3.47,2.58,1.8,2.0,1.86,2.05,1.86,2.22,1.77,2.08,0.0,2.0,1.9,2.03,1.9,2.12,1.96,1.99,1.9,1719.8378410941775,1892.314595502351,1.730375113402578,-1.1926774274314884,1.2063137031663371,-0.8293183965463929,2.1431970728750738,-1.3820113660008688,1.368637410552437,-0.8729844571547444,1715.029191305449,1897.1232452910792,-182.0940539856299,0.7745596623226367,-0.5090269088461244,-172.47675440817352,0.5240614102362409,-0.3633590308850954,0.904015696166492,1.565934889950139,1.5830881691813383,0.9088540801734998,1.434432112360725,1.4381417708786697,1.2,2.2,A,False,A,False,-1.0000000000000002,0.5454545454545454,0,0.48073706,0.28706756,0.23219533
4681,4681,4681,91,D1,06/11/2021,Bayern Munich,Freiburg,2,1,2,1,0,H,29,14,11,4,5,13,6,4,0,0,0,0,1.16,8.0,15.0,1.2,7.25,13.5,,,,1.2,7.75,13.0,,,,,,,1.15,7.5,17.0,,,,1.15,8.5,13.0,,,,,,,,,,,,,,,,,,,5,5,5,5,10,10,9.0,7.0,12.0,13.0,25.0,22.0,25,22,2.0,1.2857142857142858,-1.0,0.9230769230769232,3.0,1.1363636363636365,3,1.1363636363636365,852.9,125.15,727.75,6.815021973631642,bundesliga_data_modified_season_2021.csv,,,,,,,1.19,7.95,15.9,1.18,8.31,15.97,14:30,1.2,8.9,17.0,1.18,7.94,14.45,1.25,4.0,1.24,3.96,1.29,4.33,1.25,3.87,-2.25,1.95,1.95,1.96,1.94,1.99,1.98,1.94,1.93,1.14,9.0,15.0,1.17,8.25,13.5,1.22,7.0,12.0,1.15,8.0,15.0,1.15,8.5,15.0,1.22,9.59,18.0,1.17,8.18,15.0,1.28,3.75,1.24,3.96,1.31,4.08,1.28,3.73,-2.25,1.95,1.95,1.94,1.94,2.0,2.12,1.93,1.94,2113.318401397112,1845.2798066172152,4.10646014199821,-0.7889471453677891,1.783478679559228,-0.8415447972750972,5.083888968005095,-0.9045864958621272,2.211355316368323,-0.5677637040397976,2109.6728219175466,1848.9253860967808,260.747435820766,2.872533651636772,-0.3368227918223295,268.0385947798966,2.3229814624389817,0.0525976519073081,1.1410264782892203,2.298992355671857,1.5932446710237749,1.1452563420564752,2.3025002704338955,0.9374986904112316,2.2,1.2,H,True,H,True,1.0000000000000002,1.8333333333333333,2,0.017405823,0.072747245,0.90984684
4682,4682,4682,92,D1,06/11/2021,Bochum,Hoffenheim,2,0,2,0,0,D,14,9,4,1,7,20,2,4,1,5,0,0,3.8,3.8,1.9,3.8,3.8,1.88,,,,3.55,3.8,1.97,,,,,,,3.6,3.7,1.95,,,,3.5,3.8,1.95,,,,,,,,,,,,,,,,,,,4,6,5,5,10,10,6.0,6.0,7.0,9.0,10.0,14.0,10,14,0.0,1.0,-2.0,0.7777777777777778,-4.0,0.7142857142857143,-4,0.7142857142857143,36.9,207.65,-170.75,0.1777028653985071,bundesliga_data_modified_season_2021.csv,,,,,,,3.74,3.87,2.01,3.95,4.05,1.95,14:30,3.97,3.94,2.02,3.66,3.79,1.97,1.61,2.3,1.7,2.27,1.7,2.42,1.64,2.29,0.5,1.91,1.99,1.91,2.01,1.96,2.02,1.89,1.97,3.8,3.8,1.9,3.8,3.6,1.93,3.6,3.5,2.05,3.75,3.7,1.91,3.75,3.8,1.93,4.16,4.05,2.05,3.81,3.78,1.93,1.66,2.2,1.75,2.19,1.77,2.39,1.72,2.16,0.5,1.96,1.94,1.97,1.95,2.01,2.05,1.94,1.94,1258.6113672753215,1805.919083717672,1.4668561832281632,-0.5976567753562887,1.2551453251186868,-1.5113498429120362,0.9692760902260392,-1.3818036156222933,2.1277638752611567,-1.1115309853048907,1207.5351125699258,1856.9953384230676,-649.4602258531415,-1.1584877850351174,-0.2702726303174025,-547.30771644235,0.2117108581094764,0.9136930675557476,0.6502628668930028,0.4555374313360182,1.2431534828003623,0.696936744632179,1.1686743788727867,0.3954456859602648,1.5,1.75,A,False,A,False,-0.25,0.8571428571428571,0,0.57700074,0.28262004,0.14037926
4683,4683,4683,93,D1,06/11/2021,Stuttgart,Bielefeld,0,1,0,0,1,A,9,15,4,2,11,11,8,4,0,3,0,0,1.8,3.8,4.33,1.88,3.5,4.1,,,,1.9,3.75,4.0,,,,,,,1.85,3.6,4.2,,,,1.87,3.75,3.9,,,,,,,,,,,,,,,,,,,5,5,6,4,10,10,2.0,1.0,6.0,1.0,10.0,5.0,10,5,1.0,2.0,5.0,6.0,5.0,2.0,5,2.0,169.63,53.45,116.18,3.173620205799813,bundesliga_data_modified_season_2021.csv,,,,,,,1.93,3.62,4.33,1.99,3.56,4.16,14:30,1.94,3.9,4.38,1.89,3.64,4.16,1.8,2.0,1.88,2.03,1.88,2.13,1.79,2.05,-0.5,1.89,2.01,1.93,1.98,1.93,2.05,1.89,1.98,1.9,3.6,4.0,1.93,3.4,4.0,1.97,3.5,3.9,1.91,3.6,3.8,1.95,3.6,3.8,2.03,3.67,4.39,1.97,3.52,3.95,1.9,1.9,1.93,1.98,1.97,2.07,1.88,1.95,-0.5,2.01,1.89,1.99,1.93,2.04,1.93,1.98,1.89,1719.5884254969164,1312.7798672520846,0.401521689689666,-1.8794065591838856,0.6316247929741242,-1.291224112164642,1.0716872869837375,-2.3243466908132926,0.5864809805953759,-2.1462629174013603,1738.1471934629838,1294.2210992860173,443.9260941769664,0.4852063063883618,-0.1780837734119322,406.80855824483183,-0.2301031032844581,-0.5881824470192438,1.3430063799932384,1.8273180587984228,1.0829738854303794,1.3098833006148738,0.6356965308455129,1.455523128384893,0.8,1.8,H,False,H,False,-1.0,0.4444444444444445,2,0.12727907,0.4196682,0.4530527
4684,4684,4684,94,D1,06/11/2021,Wolfsburg,Augsburg,1,0,2,1,0,H,9,13,4,3,14,13,0,8,2,3,0,0,1.5,4.2,6.5,1.53,4.33,6.0,,,,1.53,4.3,6.0,,,,,,,1.52,4.0,6.5,,,,1.53,4.2,6.0,,,,,,,,,,,,,,,,,,,5,5,5,5,10,10,3.0,4.0,3.0,4.0,16.0,9.0,16,9,-1.0,0.75,-1.0,0.75,7.0,1.7777777777777777,7,1.7777777777777777,287.75,97.1,190.65,2.963439752832132,bundesliga_data_modified_season_2021.csv,,,,,,,1.55,4.24,6.96,1.6,4.2,6.2,14:30,1.59,4.49,7.0,1.54,4.24,6.25,1.8,2.0,1.87,2.05,1.87,2.21,1.79,2.06,-1.0,1.94,1.96,1.95,1.97,1.99,2.0,1.92,1.95,1.57,4.0,6.0,1.6,3.9,5.75,1.65,3.9,5.5,1.53,4.2,6.0,1.6,4.2,5.5,1.65,4.39,6.59,1.58,4.1,5.95,1.72,2.1,1.81,2.1,1.87,2.17,1.79,2.05,-1.0,2.06,1.84,2.07,1.87,2.11,1.97,2.03,1.85,1826.0093901444743,1735.402458606304,0.8232848142056794,-0.4993315996123866,1.3552524474331025,-1.6794704513429517,0.9276176397270588,-1.2525846065429067,2.268270235815441,-2.051809684989858,1818.1310297837204,1743.2808189670582,74.85021081666218,-1.3406525960883824,0.7992250784469515,90.60693153817056,-0.531967633227423,1.1801388517305649,1.0429364047388607,0.4089537591598212,0.6104779676722786,1.0522109042135026,0.6074770909028874,0.2973149061438426,2.4,0.4,H,True,H,True,2.0,5.999999999999999,2,0.16303727,0.21962279,0.6173399
4685,4685,4685,95,D1,06/11/2021,RB Leipzig,Dortmund,2,1,2,1,0,H,15,9,7,3,12,18,5,6,3,5,0,0,1.9,3.8,3.8,1.93,3.8,3.6,,,,1.97,3.85,3.5,,,,,,,1.95,3.7,3.6,,,,1.95,3.9,3.4,,,,,,,,,,,,,,,,,,,5,5,6,4,10,10,5.0,9.0,11.0,12.0,15.0,24.0,15,24,-4.0,0.5555555555555556,-1.0,0.9166666666666666,-9.0,0.625,-9,0.625,505.55,565.9,-60.349999999999966,0.8933557165576957,bundesliga_data_modified_season_2021.csv,,,,,,,2.04,3.8,3.7,1.86,4.07,4.14,17:30,2.05,4.0,3.8,1.99,3.81,3.58,1.57,2.37,1.6,2.49,1.63,2.55,1.56,2.45,-0.5,2.0,1.9,2.04,1.88,2.05,1.95,1.99,1.87,1.8,3.8,4.2,1.82,4.0,3.9,2.0,3.6,3.65,1.8,3.8,4.2,1.87,3.9,3.9,2.0,4.2,4.33,1.85,3.96,3.97,1.53,2.5,1.54,2.63,1.63,2.72,1.54,2.5,-0.5,1.84,2.06,1.86,2.07,2.0,2.12,1.84,2.03,1932.273159355648,1995.3584332557375,2.4377965874669485,-0.7656493839508579,2.019454761615789,-1.1044429427986249,2.431408145141356,-0.9418905133964596,2.5842574953754345,-0.6546680259711894,1919.79182943992,2007.839763171466,-88.04793373154644,-0.1528493502340788,-0.2872224874252701,-63.08527390008976,0.4183418258511593,0.3387935588477669,0.9561479280635068,0.9408536686039974,1.4387299761572747,0.9683839891376528,1.2071558292875246,0.6932448515726178,1.2,2.4,H,True,H,True,-1.2,0.5,0,0.3877936,0.31266502,0.29954135
4686,4686,4686,96,D1,07/11/2021,Hertha,Leverkusen,1,1,1,1,0,H,15,8,5,3,13,13,5,6,1,3,0,0,3.5,3.75,2.0,3.5,3.6,2.05,,,,3.45,3.55,2.1,,,,,,,3.5,3.5,2.05,,,,3.4,3.6,2.05,,,,,,,,,,,,,,,,,,,4,6,5,5,10,10,6.0,1.0,6.0,7.0,12.0,17.0,12,17,5.0,6.0,-1.0,0.8571428571428571,-5.0,0.7058823529411765,-5,0.7058823529411765,137.05,352.75,-215.7,0.3885187810063785,bundesliga_data_modified_season_2021.csv,,,,,,,3.76,3.69,2.06,3.47,3.55,2.21,14:30,3.76,3.82,2.13,3.53,3.59,2.06,1.72,2.1,1.8,2.11,1.8,2.19,1.74,2.11,0.5,1.84,2.06,1.87,2.06,1.87,2.11,1.81,2.06,3.4,3.6,2.1,3.4,3.5,2.1,3.2,3.55,2.2,3.4,3.4,2.1,3.2,3.7,2.15,3.76,3.7,2.23,3.39,3.52,2.15,1.8,2.0,1.86,2.05,1.9,2.17,1.81,2.01,0.25,1.98,1.92,2.02,1.9,2.14,1.95,2.01,1.88,1756.9533252342223,1872.798436609316,0.6313983113008944,-1.3165483588202032,1.017836444440931,-1.933693410631104,0.6942751219354202,-1.524846970686231,1.0918479828695302,-2.4201891192699456,1753.5635006663751,1876.188261177163,-122.62476051078784,-0.39757286093411,0.8953421485837145,-115.84511137509344,-0.3864381331400365,0.617145051810901,0.9346415479468728,0.6358715982702715,0.630052816346106,0.938143310507654,0.6203337626092803,0.680846483512874,1.4,1.0,A,False,A,False,0.3999999999999999,1.4,0,0.5016005,0.2762964,0.22210306
4687,4687,4687,97,D1,07/11/2021,FC Koln,Union Berlin,2,2,1,1,2,A,16,9,5,3,8,19,5,2,2,2,0,0,2.05,3.5,3.6,2.1,3.5,3.4,,,,2.1,3.55,3.35,,,,,,,2.1,3.5,3.4,,,,2.1,3.6,3.3,,,,,,,,,,,,,,,,,,,5,5,6,4,10,10,1.0,4.0,5.0,10.0,13.0,16.0,13,16,-3.0,0.25,-5.0,0.5,-3.0,0.8125,-3,0.8125,76.66,77.8,-1.1400000000000006,0.9853470437017996,bundesliga_data_modified_season_2021.csv,,,,,,,2.09,3.62,3.74,2.06,3.57,3.9,16:30,2.18,3.78,3.74,2.11,3.55,3.44,1.72,2.1,1.79,2.13,1.8,2.19,1.76,2.11,-0.25,1.84,2.06,1.8,2.13,1.89,2.13,1.83,2.05,1.95,3.5,3.8,2.0,3.4,3.75,2.0,3.55,3.65,2.0,3.5,3.7,2.0,3.6,3.6,2.11,3.6,4.25,2.02,3.5,3.73,1.89,2.01,1.89,2.01,1.91,2.17,1.85,1.98,-0.5,2.04,1.86,2.06,1.88,2.07,1.88,2.02,1.84,1690.5395462105082,1638.4896430732315,1.1953054568337942,-2.1365638210819577,1.899439441722697,-2.322759921771103,0.7835841241741753,-2.191785287925674,1.8664158709727068,-2.355476966200524,1692.115125111076,1636.914064172664,55.20106093841196,-1.0828317467985316,0.1636916782748501,52.04990313727649,-0.7041339848889028,0.1861961006891452,1.0337226383147438,0.4198336160556759,0.9305059312301868,1.0317670016147609,0.6292937961474105,0.9198384219807052,0.75,2.0,H,False,H,False,-1.25,0.375,2,0.24630119,0.30295745,0.45074132
4688,4688,4688,98,D1,07/11/2021,Greuther Furth,Ein Frankfurt,1,2,0,0,0,D,20,14,2,4,12,17,6,3,4,1,0,0,3.75,3.75,1.95,3.6,3.8,1.95,,,,3.65,3.75,1.95,,,,,,,3.7,3.6,1.95,,,,3.6,3.75,1.95,,,,,,,,,,,,,,,,,,,4,6,5,5,10,10,0.0,1.0,0.0,5.0,1.0,9.0,1,9,-1.0,0.0,-5.0,0.0,-8.0,0.1111111111111111,-8,0.1111111111111111,39.23,231.25,-192.02,0.1696432432432432,bundesliga_data_modified_season_2021.csv,,,,,,,3.88,3.87,1.97,3.76,3.77,2.03,18:30,3.94,3.95,2.01,3.72,3.76,1.96,1.72,2.1,1.78,2.15,1.79,2.22,1.72,2.15,0.5,1.93,1.97,1.95,1.97,1.96,2.01,1.91,1.95,3.4,3.75,2.05,3.5,3.75,1.98,3.7,3.7,1.95,3.7,3.6,1.95,3.5,3.7,2.0,3.84,3.81,2.13,3.58,3.68,2.01,1.66,2.2,1.74,2.21,1.78,2.28,1.71,2.15,0.5,1.88,2.02,1.89,2.03,1.91,2.1,1.85,2.03,999.5743453461332,1868.1115469488595,0.8231374853697511,-2.831603094557764,1.0947778712599197,-1.1174670143529295,0.7475349205993292,-3.0741579938779067,0.7179652129274241,-1.1525747200386376,999.7084474850732,1867.97744480992,-868.2689973248465,0.0295697076719051,-1.921583273839269,-868.5372016027262,-0.2716403858901686,-1.7141360802048342,0.5351822904835989,1.0411854323015706,2.6672092840756148,0.5350720876270549,0.7518762545158566,2.533947810707778,0.7,1.0,A,True,A,True,-0.3,0.7,0,0.64634424,0.24650379,0.107152
4689,4689,4689,99,D1,19/11/2021,Augsburg,Bayern Munich,2,1,2,2,1,H,6,18,3,4,18,9,1,10,2,1,0,0,15.0,8.0,1.16,16.0,8.0,1.17,,,,11.0,6.5,1.25,,,,,,,15.0,7.5,1.17,,,,12.0,7.5,1.2,,,,,,,,,,,,,,,,,,,5,6,6,5,11,11,3.0,9.0,4.0,12.0,9.0,27.0,9,28,-6.0,0.3333333333333333,-8.0,0.3333333333333333,-18.0,0.3333333333333333,-19,0.3214285714285714,97.1,852.9,-755.8,0.113846875366397,bundesliga_data_modified_season_2021.csv,,,,,,,15.42,7.65,1.2,13.46,7.74,1.21,19:30,17.0,8.2,1.25,14.62,7.65,1.19,1.3,3.5,1.34,3.39,1.35,3.7,1.31,3.43,2.25,1.83,2.07,1.84,2.08,1.91,2.09,1.83,2.05,15.0,8.0,1.16,13.0,7.25,1.2,11.0,6.5,1.25,15.0,7.5,1.16,12.0,7.5,1.2,17.0,8.96,1.25,13.78,7.62,1.19,1.28,3.75,1.34,3.39,1.33,3.84,1.29,3.59,2.25,1.86,2.04,1.82,2.09,2.01,2.14,1.84,2.04,1761.1567233320425,2095.4424970321274,1.7484143864747153,-1.0363615143395686,2.936992399456435,-1.2745401675455288,1.3552524474331025,-1.6794704513429517,4.10646014199821,-0.7889471453677891,1743.2808189670582,2113.318401397112,-370.0375824300536,-2.751207694565108,-0.8905233059751624,-334.285773700085,-1.1885780129817198,0.2381786532059602,0.8249021149934519,0.3300293684997596,2.128749005815872,0.840470080103105,0.5953077668155708,0.8131258164545434,1.2,2.6,A,False,D,False,-1.4,0.4615384615384615,0,0.8593526,0.08330998,0.05733745
