,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld,PredictedResult
4707,2021-12-03,Union Berlin,RB Leipzig,2.0,1.0,H,1.0,1.0,D,14.0,11.0,5.0,2.0,12.0,8.0,5.0,7.0,1.0,1.0,0.0,0.0,678,904,1.7851750781559637,-1.363506181902996,1.125889446306635,-2.126520213680125,1.6881735965534204,-1.6364347611390366,1.2741243504712148,-2.159467357519393,661.9397152582856,920.6883720732096,A
4708,2021-12-04,Augsburg,Bochum,2.0,3.0,A,0.0,3.0,A,16.0,12.0,7.0,6.0,9.0,6.0,13.0,6.0,0.0,2.0,0.0,0.0,742,296,1.791679995028027,-2.0125899621744936,2.0729619156652443,-1.3017654850380436,1.4349201470581383,-1.0839953509790476,1.3192570574992897,-0.841160775066475,761.1567233320421,277.9293320742725,H
4709,2021-12-04,Bielefeld,FC Koln,1.0,1.0,D,0.0,1.0,A,18.0,9.0,5.0,3.0,14.0,10.0,7.0,1.0,1.0,1.0,0.0,0.0,311,722,0.8156757615344752,-0.9821044436455046,2.0284003320271777,-1.1757950246278512,0.7539626567974518,-1.2997393938273245,2.641861419972585,-1.2444071917114572,303.3263880743152,730.7449205180463,H
4710,2021-12-04,Hoffenheim,Ein Frankfurt,3.0,2.0,H,2.0,1.0,H,8.0,17.0,4.0,2.0,9.0,12.0,4.0,6.0,2.0,2.0,0.0,0.0,889,862,3.571427431488896,-1.8323601720620684,1.8787816792888112,-1.4332695448817645,3.435787242003953,-1.6862808195542118,1.7725227212745116,-0.6075167581086023,879.2550932690386,872.6567728316212,A
4711,2021-12-04,Leverkusen,Greuther Furth,7.0,1.0,H,3.0,1.0,H,13.0,8.0,8.0,3.0,13.0,8.0,4.0,3.0,0.0,1.0,0.0,0.0,877,0,4.063729336190429,-0.8997909614767727,1.4557129015433137,-6.090471545013737,1.893467005756699,-0.9814853053157676,1.709098834764656,-4.957500339260065,876.7439732210293,-0.5512841195476079,H
4712,2021-12-04,Mainz,Wolfsburg,3.0,0.0,H,2.0,0.0,H,12.0,16.0,5.0,0.0,18.0,10.0,6.0,5.0,1.0,1.0,0.0,0.0,750,789,1.9605870369029907,-0.809629262483274,0.6306411175166449,-2.4815250336431416,1.12945075128671,-1.5295971480778958,1.1709516405232867,-1.9625574612096248,718.9965615740944,820.8826835093312,D
4713,2021-12-04,Dortmund,Bayern Munich,2.0,3.0,A,1.0,2.0,A,11.0,16.0,4.0,6.0,10.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,1003,1120,2.4973077508148203,-1.9010398432319813,2.588999514073778,-1.0816140149318123,2.521701196114485,-1.0661851874040582,2.122607191164441,-0.6300439740538639,1011.0368611804068,1113.5054562602404,A
4714,2021-12-05,Stuttgart,Hertha,2.0,2.0,D,2.0,1.0,H,10.0,15.0,3.0,8.0,9.0,16.0,7.0,5.0,0.0,1.0,0.0,0.0,730,756,1.6192073218256624,-1.8965592991648124,1.081583064792435,-1.5867933069867073,1.2432738660298326,-1.5364638313638714,0.5098447635008583,-1.2627107555438644,729.5713903003228,757.0743028542761,H
4715,2021-12-05,M'gladbach,Freiburg,0.0,6.0,A,0.0,6.0,A,19.0,15.0,3.0,8.0,12.0,15.0,3.0,3.0,2.0,1.0,0.0,0.0,885,851,0.9398675268478912,-4.080354609212464,3.1175957687679547,-0.9470739235840272,1.8444463995774305,-1.929412205114187,1.0042241518712205,-1.7032917831040215,897.3397494298766,839.4731994427708,H
4716,2021-12-10,FC Koln,Augsburg,0.0,2.0,A,0.0,0.0,D,14.0,12.0,4.0,4.0,12.0,15.0,9.0,4.0,2.0,4.0,0.0,0.0,721,751,1.0161764622451743,-1.5109118910139037,1.9309360105157791,-1.1308466685784118,2.0284003320271777,-1.1757950246278512,1.791679995028027,-2.0125899621744936,730.7449205180463,742.3231672209519,D
4717,2021-12-11,Bayern Munich,Mainz,2.0,1.0,H,0.0,1.0,A,21.0,9.0,7.0,4.0,9.0,10.0,7.0,2.0,3.0,3.0,0.0,0.0,1115,748,2.516921038485702,-0.9309353797195088,1.6089999755994306,-1.1914031592413337,2.588999514073778,-1.0816140149318123,1.9605870369029907,-0.809629262483274,1113.5054562602404,750.8248192415462,H
