,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld
0,11.08.2006,Bayern Munich,Dortmund,2.0,0.0,H,1.0,0.0,H,12.0,16.0,9.0,7.0,14.0,20.0,4.0,4.0,1.0,2.0,0.0,0.0,17,-17,1.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
1,12.08.2006,Hamburg,Bielefeld,1.0,1.0,D,0.0,1.0,A,26.0,10.0,19.0,5.0,29.0,22.0,11.0,2.0,3.0,2.0,0.0,0.0,0,0,0.5,-0.5,0.4375,-0.4375,0.0,0.0,0.0,0.0,0.0,0.0
2,12.08.2006,Leverkusen,Aachen,3.0,0.0,H,2.0,0.0,H,20.0,8.0,11.0,5.0,22.0,8.0,5.0,1.0,3.0,0.0,1.0,1.0,23,-23,1.5,0.0,0.0,-1.3125,0.0,0.0,0.0,0.0,0.0,0.0
3,12.08.2006,Mainz,Bochum,2.0,1.0,H,1.0,0.0,H,11.0,19.0,5.0,9.0,17.0,15.0,1.0,8.0,2.0,3.0,0.0,0.0,10,-10,1.0,-0.5,0.4375,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,12.08.2006,M'gladbach,Cottbus,2.0,0.0,H,0.0,0.0,D,13.0,11.0,8.0,7.0,11.0,24.0,3.0,5.0,0.0,4.0,0.0,1.0,17,-17,1.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
5,12.08.2006,Schalke 04,Ein Frankfurt,1.0,1.0,D,1.0,0.0,H,24.0,8.0,13.0,5.0,17.0,19.0,7.0,5.0,1.0,2.0,0.0,0.0,0,0,0.5,-0.5,0.4375,-0.4375,0.0,0.0,0.0,0.0,0.0,0.0
6,12.08.2006,Stuttgart,Nurnberg,0.0,3.0,A,0.0,2.0,A,10.0,11.0,8.0,8.0,12.0,24.0,5.0,6.0,1.0,2.0,0.0,0.0,-10,10,0.0,-1.5,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13.08.2006,Hannover,Werder Bremen,2.0,4.0,A,1.0,1.0,D,14.0,15.0,6.0,8.0,18.0,14.0,2.0,11.0,1.0,3.0,0.0,0.0,-10,10,1.0,-2.0,1.75,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
8,13.08.2006,Wolfsburg,Hertha,0.0,0.0,D,0.0,0.0,D,26.0,10.0,15.0,4.0,30.0,18.0,10.0,5.0,4.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.08.2006,Nurnberg,M'gladbach,1.0,0.0,H,1.0,0.0,H,11.0,11.0,7.0,6.0,19.0,20.0,2.0,5.0,2.0,3.0,0.0,0.0,10,7,1.3203125,0.125,0.640625,-0.3349609375,1.3125,0.0,1.0,0.0,0.0,17.65534746362977
10,19.08.2006,Aachen,Schalke 04,0.0,1.0,A,0.0,0.0,D,12.0,11.0,7.0,7.0,33.0,16.0,5.0,4.0,5.0,2.0,0.0,0.0,-10,10,-0.0625,-1.2578125,0.6552734375,-0.3203125,0.0,-1.3125,0.5,-0.5,0.0,0.0
11,19.08.2006,Cottbus,Hamburg,2.0,2.0,D,0.0,1.0,A,17.0,15.0,10.0,12.0,17.0,17.0,8.0,8.0,1.0,2.0,0.0,1.0,0,0,0.9375,-1.484375,1.126953125,-1.1953125,0.0,-0.875,0.5,-0.5,0.0,0.0
12,19.08.2006,Dortmund,Mainz,1.0,1.0,D,0.0,0.0,D,17.0,6.0,10.0,4.0,18.0,30.0,7.0,3.0,2.0,1.0,0.0,0.0,0,9,0.4375,-0.921875,1.009765625,-0.7578125,0.0,-0.875,1.0,-0.5,0.0,10.0
13,19.08.2006,Ein Frankfurt,Wolfsburg,0.0,0.0,D,0.0,0.0,D,19.0,8.0,9.0,5.0,24.0,31.0,10.0,1.0,5.0,2.0,1.0,0.0,0,0,0.2734375,-0.2734375,-0.0341796875,0.0341796875,0.4375,-0.4375,0.0,0.0,0.0,0.0
14,19.08.2006,Hertha,Hannover,4.0,0.0,H,2.0,0.0,H,11.0,5.0,9.0,1.0,11.0,18.0,2.0,2.0,1.0,2.0,0.0,1.0,26,-36,1.75,0.125,0.640625,-3.03125,0.0,0.0,1.0,-2.0,0.0,-10.0
15,19.08.2006,Werder Bremen,Leverkusen,2.0,1.0,H,1.0,1.0,D,19.0,21.0,10.0,9.0,20.0,18.0,8.0,13.0,3.0,2.0,0.0,0.0,10,12,2.09375,-0.859375,1.330078125,-0.73828125,1.75,-0.875,1.5,0.0,0.0,23.50497247084133
16,20.08.2006,Bielefeld,Stuttgart,2.0,3.0,A,0.0,1.0,A,15.0,13.0,9.0,9.0,16.0,25.0,4.0,7.0,1.0,1.0,0.0,2.0,-10,0,1.0859375,-1.7734375,1.2783203125,-1.8017578125,0.4375,-0.4375,0.0,-1.5,0.0,-10.0
17,20.08.2006,Bochum,Bayern Munich,1.0,2.0,A,0.0,1.0,A,6.0,21.0,4.0,13.0,23.0,25.0,2.0,4.0,1.0,2.0,0.0,0.0,-9,27,0.7734375,-1.421875,1.447265625,-0.4033203125,0.4375,-0.875,1.0,0.0,0.0,17.65534746362977
18,25.08.2006,Schalke 04,Werder Bremen,2.0,0.0,H,1.0,0.0,H,12.0,8.0,9.0,6.0,23.0,22.0,7.0,10.0,3.0,3.0,0.0,0.0,18,-7,1.3021240234375,0.0615234375,1.3162841796875,-1.3743438720703125,0.6552734375,-0.3203125,2.09375,-0.859375,0.0,10.675497244732632
19,26.08.2006,Bayern Munich,Nurnberg,0.0,0.0,D,0.0,0.0,D,19.0,9.0,10.0,2.0,12.0,18.0,14.0,4.0,2.0,1.0,0.0,0.0,17,10,0.920166015625,-0.0870361328125,0.8143157958984375,0.193145751953125,1.447265625,-0.4033203125,1.3203125,0.125,17.65534746362977,10.50772479392708
20,26.08.2006,Bochum,Cottbus,0.0,1.0,A,0.0,0.0,D,21.0,12.0,8.0,5.0,25.0,20.0,9.0,2.0,2.0,6.0,0.0,0.0,-19,9,0.2978515625,-1.271484375,0.927001953125,-0.8905029296875,0.7734375,-1.421875,0.9375,-1.484375,-9.49227520607292,0.0
21,26.08.2006,Hannover,Aachen,0.0,3.0,A,0.0,1.0,A,8.0,5.0,4.0,3.0,7.0,14.0,6.0,1.0,1.0,1.0,0.0,0.0,-20,0,0.2431640625,-3.40234375,1.03564453125,-0.7557373046875,0.640625,-3.03125,-0.0625,-1.2578125,-10.0,-10.0
22,26.08.2006,Leverkusen,Wolfsburg,1.0,1.0,D,0.0,0.0,D,17.0,15.0,9.0,5.0,18.0,19.0,8.0,6.0,0.0,1.0,1.0,0.0,22,0,1.3355712890625,-0.9656982421875,0.3579254150390625,-0.3116912841796875,1.330078125,-0.73828125,-0.0341796875,0.0341796875,23.50497247084133,0.0
23,26.08.2006,M'gladbach,Bielefeld,1.0,0.0,H,0.0,0.0,D,9.0,8.0,5.0,3.0,13.0,10.0,5.0,4.0,0.0,1.0,0.0,0.0,26,-19,0.6787109375,-0.0736083984375,0.6695098876953125,-1.5235595703125,0.640625,-0.3349609375,1.0859375,-1.7734375,17.65534746362977,-10.287743683319974
